Source PDF,Street no,Rest of PDF,County,Manifest Number,Is Duplicate,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),First Haul Date,Last Haul Date,Unique Hauling Days Mentioned,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Total Manure Amount (cubic yards),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Manure Number of Hauls,Manure Mass per Haul (tons),Manure Volume per Haul (cubic yards),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413.0," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,30,,91,92,manure,x,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Max Gro INC,7413 S. Mitchell Rd. Turlock 95380 204-652-6929,10924 Hilmar Rd. Turlock 95380,,,,,2024-10-08,,,1460.0,,37.2,,,Scale Weights,,,,,,,,,False,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413.0," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,31,,93,94,manure,x,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Johnny Machado,7413 S. Mitchell Rd. Turlock 95360 209-652-6929,,,045-020-021,,,2024-10-20,,,540.0,,37.2,,,Scale Weights,,,,,,,,,False,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413.0," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,32,,95,96,manure,x,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Johnny Machado,7413 S. Mitchell Rd. Turlock 95350,,,,,,2024-10-21,,,540.0,,37.2,,,Scale Weights,,,,,,,,,False,R5-2007-0035_general_order
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,1,,78,79,manure,x,Mitk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-11-29,,,1350.0,38.0,,,,10 Yd Spreader Box,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,2,,80,81,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-10-26,,,946.0,38.0,,,,10 Yd Spreader Box,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,3,,82,83,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-09-26,,,1128.0,33.6,,,,10 Yd Spreader Box,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,4,,84,85,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snellin Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-08-20,,,458.0,33.6,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,5,,86,87,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-07-10,,,946.0,33.6,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,6,,88,89,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snellin Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,,,,1624.0,33.6,,,,,,,,,,,,,,,
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,7,,90,91,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-05-02,,,880.0,33.6,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,8,,92,93,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-04-26,,,748.0,33.6,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,9,,94,95,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-03-15,,,1738.0,25.8,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,10,,96,97,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snellin Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-02-08,,,1665.0,25.8,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509.0, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,11,,98,99,manure,x,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone S I,5175 Shaw Ave Winton CA 95388,5175 Shaw Winton 95388,Merced,,Broker,,2024-01-08,,,990.0,28.1,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
7581 N Merced Ave 2024 Dairy AR,7581.0, N Merced Ave 2024 Dairy AR,rancho_cordova,1,,28,29,manure,x,Joe & Teresa Soares Dairy #2,7581 N Merced Ave Delhi Merced 95315,Cardoso Farm Services Inc.,P.O. Box 189 Delhi Ca 95315,Cardoso Farm Services Inc,P.O. Box 189 Delhi CA 95315,Delhi 95315,Bloss Ave Merced,,Broker,,2024-10-06,,,728.0,72.4,,,,Tons X Loads,,,,,,,,,False,R5-2007-0035_software
7618 S Hwy 59 El Nido 2024 Dairy AR,7618.0, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,1,,27,28,manure,x,Azevedo Dairy #2,7618 Highway 59 El Nido Merced 95317,Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc,P.O. Box 149 El Nido CA 95317,El Nido 95317,Coyote Rd Merced,,Broker,,2024-07-04,,,20424.0,46.4,,,,24 Tons X Loads,,,24.0,,,,,,False,R5-2007-0035_software
7618 S Hwy 59 El Nido 2024 Dairy AR,7618.0, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,2,,29,30,manure,x,Azevedo Dairy #2,7618 Highway 59 El Nido Merced 95317,Gomes Farms Llc,P.O. Box 149 El Nido Ca 95317,Gomes Farms Llc,P.O. Box 149 El Nido CA 95317,El Nido 95317,Coyote Rd Merced,,Broker,,2024-10-25,,,2952.0,43.7,,,,24 Tons X Load,,,24.0,,,,,,False,R5-2007-0035_software
"7689 Washington Rd, Hilmar 2024 Dairy AR",7689.0," Washington Rd, Hilmar 2024 Dairy AR",rancho_cordova,1,,51,52,manure,x,Fanelli Dairy,7689 Washington Rd Hillmar Merced 95324,Fanelli Dairy,7689 Washington Rd Hilmar Ca 95324,Fanelli Dairy-Heifers (209) 678-2858,23839 W Bloss Ave Hilmar CA 95324,23839 W Bloss Ave Hilmar 95324,Merced,,Farmer,,2024-01-01,,,155.0,51.4,,,,Tons Per Load,,,,,,,,,False,R5-2007-0035_software
"7706 Tegner Rd, Hilmar 2024 Dairy AR",7706.0," Tegner Rd, Hilmar 2024 Dairy AR",rancho_cordova,1,,26,27,wastewater,x,Machado-Kindberg,7706 Tegner Rd Hilmar Merced 95324,Machado-Kindberg,7413 S Mitchell Rd Turlock Ca 95380,Bob Livak (209) 668-8319,22339 Crane Ave Hilmar CA 95324,,,Xx045-X200-X015-Xxxx Merced,Farmer,,2024-05-26,,840000.0,,,,,,,Pump Gpm X Run Time,,,,,,,,False,R5-2007-0035_software
"7706 Tegner Rd, Hilmar 2024 Dairy AR",7706.0," Tegner Rd, Hilmar 2024 Dairy AR",rancho_cordova,2,,28,29,wastewater,x,Machado-Kindberg,7706 Tegner Rd Hilmar Merced 95324,Machado-Kindberg,7413 S Mitchell Rd Turlock Ca 95380,Bob Livak (209) 668-8319,22339 Crane Ave Hilmar CA 95324,,,Xx045-X200-X015-Xxxx Merced,Farmer,,2024-07-16,,720000.0,,,,,,,Pump Gpm X Run Time,,,,,,,,False,R5-2007-0035_software
"7706 Tegner Rd, Hilmar 2024 Dairy AR",7706.0," Tegner Rd, Hilmar 2024 Dairy AR",rancho_cordova,3,,30,31,wastewater,x,Machado-Kindberg,7706 Tegner Rd Hilmar Merced 95324,Machado-Kindberg,7413 S Mitchell Rd Turlock Ca 95380,Bob Livak (209) 668-8319,22339 Crane Ave Hilmar CA 95324,,,Xx045-X200-X015-Xxxx Merced,Farmer,,2024-07-28,,660000.0,,,,,,,Pump Gpm X Run Time,,,,,,,,False,R5-2007-0035_software
"7706 Tegner Rd, Hilmar 2024 Dairy AR",7706.0," Tegner Rd, Hilmar 2024 Dairy AR",rancho_cordova,4,,32,33,wastewater,x,Machado-Kindberg,7706 Tegner Rd Hilmar Merced 95324,Machado-Kindberg,7413 S Mitchell Rd Turlock Ca 95380,Bob Livak (209) 668-8319,22339 Crane Ave Hilmar CA 95324,,,Xx045-X200-X015-Xxxx Merced,Farmer,,2024-08-27,,600000.0,,,,,,,Pump Gpm X Run Time,,,,,,,,False,R5-2007-0035_software
"7706 Tegner Rd, Hilmar 2024 Dairy AR",7706.0," Tegner Rd, Hilmar 2024 Dairy AR",rancho_cordova,5,,34,35,wastewater,x,Machado-Kindberg,7706 Tegner Rd Hilmar Merced 95324,Machado-Kindberg,7413 S Mitchell Rd Turlock Ca 95380,Bob Livak (209) 668-8319,22339 Crane Ave Hilmar CA 95324,,,Xx045-X200-X015-Xxxx Merced,Farmer,,2024-10-29,,840000.0,,,,,,,Pump Gpm X Run Time,,,,,,,,False,R5-2007-0035_software
7755 Midway Rd Dixon 2024 Dairy AR,7755.0, Midway Rd Dixon 2024 Dairy AR,rancho_cordova,1,,271,272,manure,x,HD Ranch,7815 Midway Rd Dixon 95620,Steven Pozzi,6590 Lewis Rd Vacaville CA 95687,Steven Pozzi,6540 Lewis Rd Vacaville CA 95687,6540 Lewis Rd Vacaville CA 95687,,,Farmer,2024-11-03,2024-11-25,,,1186.0,33.0,,,,Scale,,,,,,,,,False,R5-2013-0122_general_order
7755 Midway Rd Dixon 2024 Dairy AR,7755.0, Midway Rd Dixon 2024 Dairy AR,rancho_cordova,2,,274,275,manure,x,HD Ranch,7815 Midway Rd Dixon 95620,Steven Pozzi,6540 Lewis Rd Vacaville CA 95687,Steven Pozzi,6540 Lewis Rd Vacaville CA 95687,6540 Lewis Rd Vacaville CA 95687,,,Farmer,2024-10-13,2024-10-28,,,1011.0,33.0,,,,Scale,,,,,,,,,False,R5-2013-0122_general_order
7755 Midway Rd Dixon 2024 Dairy AR,7755.0, Midway Rd Dixon 2024 Dairy AR,rancho_cordova,3,,277,278,manure,x,HD Ranch,7815 Midway Rd Dixon 95620,Steven Pozzi,6590 Lewis Rd Vacaville CA 95687,Steven Pozzi,6540 Lewis Vacaville CA 95687,6540 Lewis Rd Vacaville CA 95687,,,Farmer,2024-09-15,2024-09-30,,,985.0,33.24,,,,Scale,,,,,,,,,False,R5-2013-0122_general_order
7755 Midway Rd Dixon 2024 Dairy AR,7755.0, Midway Rd Dixon 2024 Dairy AR,rancho_cordova,4,,280,281,manure,x,HD Ranch,7815 Midway Rd Dixon 95620,Steven Pozzi,6540 Levis Vecanille CA 95687,Steven Pozzi,6540 Lewis Rd Vacaville CA 95687,6540 Lewis Rd Vacaville CA 95687,,,Farmer,2024-08-18,2024-08-26,,,519.0,33.24,,,,Scale,,,,,,,,,False,R5-2013-0122_general_order
"7884 Faith Home Rd, Hilmar 2024 Dairy AR",7884.0," Faith Home Rd, Hilmar 2024 Dairy AR",rancho_cordova,1,,45,46,manure,x,Vierra Dairy Farms #3,7884 Faith Home Rd Hilmar 95824,Silva & Sons Custom Spreading,P.O Box 1261 Hilmar 95324,Vierra Dairy Farms,23160 Williams Ave Hilmar 95324,,,"045-040-013,045-040-021,045-040-036,045-040-023",,,2024-05-20,,,1970.0,71.3,,,,@12 Tons Per Load,,,12.0,,,,,,False,R5-2007-0035_general_order
"7965 Washington Rd, Hilmar 2024 Dairy AR",7965.0," Washington Rd, Hilmar 2024 Dairy AR",rancho_cordova,1,,28,29,manure,x,Vierra Dairy Farms #4,7985 Washington Rd. Hilmar 95324,Silva & Sons Custom Spreading,P.O Box 1261 Hilmar 95324,Vierra Dairy Farms,23160 Williams Ave Hilmar 95324,,,"045-040-042,045-040-043,045-040-004,045-040-019",,2024-05-07,2024-05-08,,,4200.0,59.8,,,,@12 Tons Per Load,,,12.0,,,,,,False,R5-2007-0035_general_order
8118 Sikes Rd Dixon 2024 Dairy AR,8118.0, Sikes Rd Dixon 2024 Dairy AR,rancho_cordova,1,,67,68,manure,x,Ulys Dairy,8118 Sikes Road Dixon CA 95620,Ulys Dairy,8118 Sikes Road Dixon CA 95620,Atkinson's Hay,7109 Rio Dixon Rd. Dixon CA 95620,7109 Rio Dixon Road Dixon CA,,0109-310-040,Farmer,2024-06-15,2024-09-20,,,1400.0,,,,,70 Loads At 20 Ton Per Load,,70.0,20.0,,,,,,False,R5-2013-0122_general_order
8178 Paradise Rd Modesto 2024 Dairy AR,8178.0, Paradise Rd Modesto 2024 Dairy AR,rancho_cordova,1,,62,63,manure,x,A.P. Avila Dairy,8178 Paradise Road Modesto CA 95358,Avila Spreading Service,Po Box 580742 Modesto CA 95358,Mike Bizzini (Bizzini Ranch) 7519 Paradise Rd. Modesto CA 95358 209-484-1736,Mike Bizzini (Bizzini Ranch) 7519 Paradise Rd. Modesto CA 95358 209-484-1736,7519 Paradise Road Modesto CA,,017-001-012,Farmer,,2024-03-09,,,200.0,,50.9,,,20 Loads At 10 Ton Per Load,,20.0,10.0,,,,,,False,R5-2013-0122_general_order
8201 Mitchell Rd Ceres 2024 Dairy AR,8201.0, Mitchell Rd Ceres 2024 Dairy AR,rancho_cordova,1,,39,40,manure,x,Double D Dairy #4,8201 Mitchell Rd Ceres 95307,Dores Ag Services,P.O. Box 65 Stevinson 95374,Phil Dores,P.O. Box 65 Stevinson 95374,23234 Second Ave. Stevinson 95374,,,Broker,,2024-10-18,,,1490.0,,18.3,,,149 Loads @ 10 Tons Per Load,,149.0,10.0,,,,,,False,R5-2007-0035_general_order
8331 Central Ave Ceres 2024 Dairy AR,8331.0, Central Ave Ceres 2024 Dairy AR,rancho_cordova,1,,20,21,manure,x,Frank J. Bettencourt & Sons Dairy,8331 Central Avenue Ceres CA 95307,Silva & Sons LLC,23616 Williams Avenue Hilmar CA 95324,Silva & Sons LLC,23616 Williams Avenue Hilmar 95324,23616 Williams Avenue Hilmar 95324,,,Broker,,2024-11-01,,,950.0,91.6,,,,Number Of Truckloads X Average Truck Weight,,,,,,,,,False,R5-2007-0035_general_order
8350 E Brady Ave Manteca 2024 Dairy AR,8350.0, E Brady Ave Manteca 2024 Dairy AR,rancho_cordova,1,,47,48,manure,x,Frank J Borges Dairy,8350 E Brady Rd Manteca San Joaquin 95337,B &M Hauling,11708 E Moncure Ave Ripon Ca 95366,B&M Farms (209) 599-3887,11708 E Moncure Ave Ripon CA 95366,Manteca 95366,Lorenzen Rd San Joaquin,,Farmer,,2024-06-25,,,6864.0,41.3,,,,Tons X Loads,,,,,,,,,False,R5-2007-0035_software
8350 E Brady Ave Manteca 2024 Dairy AR,8350.0, E Brady Ave Manteca 2024 Dairy AR,rancho_cordova,2,,49,50,manure,x,Frank J Borges Dairy,8350 E Brady Rd Manteca San Joaquin 95337,B &M Hauling,11708 E Moncure Ave Ripon Ca 95366,B&M Farms (209) 599-3887,11708 E Moncure Ave Ripon CA 95366,Manteca 95366,Lorenzen Rd San Joaquin,,Farmer,,2024-11-10,,,7332.0,27.1,,,,Tons X Loads,,,,,,,,,False,R5-2007-0035_software
8450 S Hwy 33 Gustine 2024 Dairy AR,8450.0, S Hwy 33 Gustine 2024 Dairy AR,rancho_cordova,1,,85,86,wastewater,x,Live Oak Dairy E,8450 S Hwy 33 Gustine Merced 95322,Pipeline,8450 S 33 Hwy Gustine Ca 95322,Paul Lopes (209) 649-4967,9720 S Whitworth Ave Gustine CA 95322,9720 S Whitworth Ave Gustine 95322,Merced,,Farmer,,2024-03-01,,7280000.0,,,,,,,Flowmeter,,,,,,,,True,R5-2007-0035_software
8450 S Hwy 33 Gustine 2024 Dairy AR,8450.0, S Hwy 33 Gustine 2024 Dairy AR,rancho_cordova,2,,87,88,wastewater,x,Live Oak Dairy E,8450 S Hwy 33 Gustine Merced 95322,Pipeline,8450 S 33 Hwy Gustine Ca 95322,Paul Lopes (209) 649-4967,9720 S Whitworth Ave Gustine CA 95322,9720 S Whitworth Ave Gustine 95322,Merced,,Farmer,,2024-03-01,,10000000.0,,,,,,,Flowmeter,,,,,,,,True,R5-2007-0035_software
8600 Dos Rios Ln Modesto 2024 Dairy AR,8600.0, Dos Rios Ln Modesto 2024 Dairy AR,rancho_cordova,1,,93,94,manure,x,,,Rivercrest Cattle,,B&M Farms,11708 E. Moncure Road Ripon CA 95366,1221 W. Lorenzen Road Tracy CA 95304,,,,,2024-04-10,,,6475.0,,73.5,,,259 Loads At 25 Ton Per Load,,259.0,25.0,,,,,,False,R5-2007-0035_general_order
8600 Dos Rios Ln Modesto 2024 Dairy AR,8600.0, Dos Rios Ln Modesto 2024 Dairy AR,rancho_cordova,2,,95,96,manure,x,,,Rivercrest Cattle,,B&M Farms,11708 E. Moncure Road Ripon CA 95366,1221 W. Lorenzen Road Tracy CA 95304,,,,,2024-06-15,,,2325.0,,24.3,,,93 Loads At 25 Ton Per Load,,93.0,25.0,,,,,,False,R5-2007-0035_general_order
8600 Dos Rios Ln Modesto 2024 Dairy AR,8600.0, Dos Rios Ln Modesto 2024 Dairy AR,rancho_cordova,3,,97,98,manure,x,,,Rivercrest Cattle,,Relm Dairy,6721 Perrin Road Manteca CA 95337 209-495-9760,6721 Perrin Road Manteca CA,,257-130-02,,,2024-06-06,,,1150.0,,29.7,,,46 Loads At 25 Ton Per Load,,46.0,25.0,,,,,,False,R5-2007-0035_general_order
8600 Dos Rios Ln Modesto 2024 Dairy AR,8600.0, Dos Rios Ln Modesto 2024 Dairy AR,rancho_cordova,4,,99,100,manure,x,,,Rivercrest Cattle,,Relm Properties,11708 E. Moncure Rd. Manteca CA 95337,6524 Perrin Road Manteca CA,,257-120-01,,,2024-07-20,,,2250.0,,82.7,,,90 Loads At 25 Ton Per Load,,90.0,25.0,,,,,,False,R5-2007-0035_general_order
8632 W Meandow Dr Winton 2024 Dairy AR,8632.0, W Meandow Dr Winton 2024 Dairy AR,rancho_cordova,1,,74,75,manure,x,Tierabuenaranch,8632 W Meadow Dr Winton Merced 95388,Kenneth Stone Spreading,Ca 95388,Stone Spreading,,5175 Shaw Ave Winton 95388,County,,Broker,,2024-09-28,,,2200.0,36.8,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
8632 W Meandow Dr Winton 2024 Dairy AR,8632.0, W Meandow Dr Winton 2024 Dairy AR,rancho_cordova,2,,76,77,manure,x,Tierabuenaranch,8632 W Meadow Dr Winton Merced 95388,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-06-13,,,2024.0,36.8,,,,,,,,,,,,,False,R5-2007-0035_software
8632 W Meandow Dr Winton 2024 Dairy AR,8632.0, W Meandow Dr Winton 2024 Dairy AR,rancho_cordova,3,,78,79,manure,x,Tierabuenaranch,8632 W Meadow Dr Winton Merced 95388,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading,,5175 Shaw Ave Winton 95388,Merced,,Broker,,2024-03-18,,,3014.0,25.1,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
8632 W Meandow Dr Winton 2024 Dairy AR,8632.0, W Meandow Dr Winton 2024 Dairy AR,rancho_cordova,4,,80,81,manure,x,Tierra Buena Ranch,Merced 95388,Kenneth Stone Spreading,Ca 95388,Stone Spreading,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,County,,Broker,,2024-12-02,,,2104.0,36.2,,,,20 Yd Side Dump,,,,,,,,,False,R5-2007-0035_software
9161 Warnerville Rd Oakdale 2024 Dairy AR,9161.0, Warnerville Rd Oakdale 2024 Dairy AR,rancho_cordova,1,,33,34,manure,x,River Oak Dairy #2,9161 Warnerville Road Oakdale CA 95361,Caton Ag INC.,14303 S. Campbell Road Escalon CA 95230,Advanced Soils 14303 S. Campbell Road Escalon CA 95320 209-499-3639,Advanced Soils 14303 S. Campbell Road Escalon CA 95320 209-499-3639,14303 S. Campbell Road Escalon CA,,207-320-20,Composting Facility,,2024-10-02,,,4430.0,,,,,,,,,,,,,,False,R5-2013-0122_general_order
9201 Hilmar Rd Turlock 2024 Dairy AR,9201.0, Hilmar Rd Turlock 2024 Dairy AR,rancho_cordova,1,,85,86,manure,x,Soares Dairy Lp,9201 Hilmar Rd Turlock Stanislaus 95380,Five Star Hauling,P.O. Box 488 Gustine Ca 95322,Five Star Hauling,P.O. Box 488 Gustine CA 95322,Gustine 95322,. Merced,,Broker,,2024-06-04,,,3900.0,91.0,,,,Tons Per Load,,,,,,,,,False,R5-2007-0035_software
9201 Hilmar Rd Turlock 2024 Dairy AR,9201.0, Hilmar Rd Turlock 2024 Dairy AR,rancho_cordova,2,,87,88,manure,x,Soares Dairy Lp,9201 Hilmar Rd Turlock Stanislaus 95380,Five Star Hauling,P.O. Box 488 Gustine Ca 95322,Five Star Hauling,P.O. Box 488 Gustine CA 95322,Gustine 95322,. Merced,,Broker,,2024-10-05,,,5200.0,19.2,,,,Tons Per Load,,,,,,,,,False,R5-2007-0035_software
9207 American Ave Hilmar 2024 Dairy AR,9207.0, American Ave Hilmar 2024 Dairy AR,rancho_cordova,1,,36,37,manure,x,Joe Soares Dairy #4,9207 American Ave Hilmar Stanislaus 95324,Cardoso Farm Services Inc.,P.O. Box 189 Delhi Ca 95315,Cardoso Farm Services Inc,P.O. Box 189 Delhi CA 95315,Delhi 95315,August Ave Merced,,Broker,,2024-05-28,,,6344.0,21.2,,,,Tons X Loads,,,,,,,,,False,R5-2007-0035_software
9207 American Ave Hilmar 2024 Dairy AR,9207.0, American Ave Hilmar 2024 Dairy AR,rancho_cordova,2,,38,39,manure,x,Joe Soares Dairy #4,9207 American Ave Hilmar Stanislaus 95324,Cardoso Farm Services Inc.,P.O. Box 189 Delhi Ca 95315,Cardoso Farm Services Inc,P.O. Box 189 Delhi CA 95315,Delhi 95315,August Ave Merced,,Broker,,2024-10-30,,,2782.0,29.3,,,,Tons X Loads,,,,,,,,,False,R5-2007-0035_software
"9375 N Washington Rd, Hilmar 2024 Dairy AR",9375.0," N Washington Rd, Hilmar 2024 Dairy AR",rancho_cordova,1,,37,38,wastewater,x,Ken Van Foeken Dairy #2,9735 Washington Road Hilmar CA 95324,Ken Van Foeken Dairy #2,9735 Washington Road Hilmar CA 95324,B & D Dairy 9579 Hultberg Road Hilmar 95324 (209) 652-3534,B & D Dairy 9579 Hultberg Road Hilmar 95324 (209) 652-3534,Short Ave & Cummings Road Hilmar 95324 Merced County,,,Farmer,2024-01-08,2024-10-15,,8437280.0,,,,,,,Pump Run Time X Total Hours,,,,,,,,False,R5-2007-0035_general_order
"9375 N Washington Rd, Hilmar 2024 Dairy AR",9375.0," N Washington Rd, Hilmar 2024 Dairy AR",rancho_cordova,2,,39,40,manure,x,Ken Van Foeken Dairy #2,9375 Washington Road Hilmar CA 95324,Silva & Sons LLC,23616 Williams Avenue Hilmar CA 95324,Silva & Sons LLC,23616 Williams Avenue Hilmar 95324,23616 Williams Avenue Hilmar 95324,,,Broker,,2024-06-20,,,2800.0,70.7,,,,Number Of Truckloads X Average Truck Weight,,,,,,,,,False,R5-2007-0035_general_order
9390 Harvey Rd Galt 2024 Dairy AR,9390.0, Harvey Rd Galt 2024 Dairy AR,rancho_cordova,1,,47,48,manure,x,Th Mello & Sons Dairy,9390 Harvey Rd. Galt 95632,Lester Mello,9390 Harvey Rd. Galt 95632,Gwerder Family Ranch,8980 Kost Rd. Galt 95632,8992-9198 Kost Rd. Galt 95632,,,Farmer,2024-10-28,2024-11-01,,,288.0,52.7,,,,Hauler's Estimate,,,,,,,,,False,R5-2007-0035_general_order
"9483 Columbus Ave, Hilmar 2024 Dairy AR",9483.0," Columbus Ave, Hilmar 2024 Dairy AR",rancho_cordova,1,,75,76,wastewater,x,Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Aaron Wickstrom,22245 August Ave Hilmar CA 95324,,,0045-0180-0021-0000 Merced,Farmer,,2024-01-08,,1900000.0,,,,,,,Flowmeter,,,,,,,,True,R5-2007-0035_software
"9483 Columbus Ave, Hilmar 2024 Dairy AR",9483.0," Columbus Ave, Hilmar 2024 Dairy AR",rancho_cordova,2,,77,78,wastewater,x,Gold Medal Ag #1,9483 Columbus Ave Hilmar Merced 95324,Pipeline,9483 Columbia Ave Hilmar Ca 95324,Curtis Van Foekin,22245 August Ave Hilmar CA 95324,22338 Short Ave Hilmar 95324,Merced,,Farmer,,2024-02-08,,1350000.0,,,,,,,Flowmeter,,,,,,,,True,R5-2007-0035_software
