Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Type,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Source PDF,Manifest Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded)
Frank S. Brown Co.,,Thomas Dros Spreading,5810 23Rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Av. Riverdale 93656 906-1406,,,3/4/24,,570.0,,,Luto Avg,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,5,,
Frank S. Brown,,Thomas Bros Spreading,5810 23Rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave 93656 906-1406,,,4/23/24,,1019.2,,,The,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,6,,
Frank S. Brown Co,,Thomas Bros Spreading,5810 23Rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,5/31/24,,100324.0,,,Wtd Aug,Written Agreement,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,7,,
Frea Dairy Llc,,Ray Moles,,Ray Moles,Fresno 93706,Broker,12/13/2024,,770.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,2,,"(36.708778, -119.813423)"
Frea Dairy Llc,,Ray Moles,,Ray Moles,Fresno 93706,Broker,11/22/2024,,462.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,3,,"(36.708778, -119.813423)"
Frea Dairy Llc,,Ray Moles,,Ray Moles,Fresno 93706,Broker,10/22/2024,,770.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,4,,"(36.708778, -119.813423)"
Frea Dairy Llc,,Ray Moles,,Ray Moles,Fresno 93706,Broker,08/15/2024,,3483.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,7,,"(36.708778, -119.813423)"
G & A Dairy #2,,Burrows Trucking,,Burrow Trucking & Spreading,Fresno 93706,Broker,02/09/2024,,2452.0,,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,1,,"(36.708778, -119.813423)"
G & A Dairy #2,,Netto Ag Inc.,,Netto Ag Inc.,Hanford 93230,Broker,10/01/2024,,2140.0,,,Averaged Scale Weighed Loads Multiplied By The Number Of Loads Exported.,,2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,5,,"(36.332851, -119.647705)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Joe D Rented Field,Marks & Muscat,,,,1498.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,1,"(36.698506663879, -119.840068705305)","(36.684867505303, -119.844508683237)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Name Number And Street City Zip Code Phone Number,Bottasso Muscat & Westlawn,,,,1946.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,2,"(36.698506663879, -119.840068705305)","(36.374105693, -119.27023)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Name Number And Street City Zip Code Phone Number,Big De Muscat & Westlawn,,,,1450.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,3,"(36.698506663879, -119.840068705305)","(36.684847028295, -119.848990342306)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Dickenson,Farmer,,,750.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,4,"(36.698506663879, -119.840068705305)","(37.1985547, -120.2082307)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Rolinda,Farmer,,,750.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,5,"(36.698506663879, -119.840068705305)","(36.727719, -119.96995)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Jameson,Farmer,,,825.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,6,"(36.698506663879, -119.840068705305)","(38.307582884449, -122.28815413273)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Cornelia American,Farmer,,,1725.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,7,"(36.698506663879, -119.840068705305)","(38.064930566803, -120.560941966512)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Grantland,Farmer,,,750.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,8,"(36.698506663879, -119.840068705305)","(37.575667630599, -122.324292571096)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Big De,Central Muscat,Farmer,,,1724.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,9,"(36.698506663879, -119.840068705305)","(37.7713381, -122.2484312)"
G&A Dairy,2200 S. Marks Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kermen Ca 93630,Rolinda California,Americo Foglio,Farmer,,,1750.0,,,The,Written Agreement,2024AR_G & A Dairy_2200 S Marks Ave_Fresno,10,"(36.698506663879, -119.840068705305)","(None, None)"
,,Cain Truckinginc.,23004 Road 140 Tulare 93274,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,,June 10-15 E July 5-10 2024,,6093.0,,,The Amount.,Written Agreement,2024AR_GTA Dairy_16197 Ave 172_Tulare,1,,"(36.065202036903, -119.402698566859)"
Georgeson Dairy,,Thomas Bros Spreading,,Thomas Bros Hauling,Riverdale 93656,Broker,06/20/2024,,8200.0,,,Weighted Average,,2024AR_Georgenson Dairy_8519 24th Ave_Kings,1,,"(36.435758, -119.8682437)"
Gerben Leyendekker,8676 Avenue 360 Visalia Ca 93291,Valley Manure Spreading Inc.,1728 North Irma St. Visalia Ca 93292,,042-050-009,,,,1420.0,,,The,Written Agreement,2024AR_Gerben Leyendekker Dairy #1_8517 Ave 360_Tulare,1,"(36.444070765955, -119.377834908375)","(36.374105693, -119.27023)"
Gerben Levendekker Pain,8517 Ave 360 Visalia Ca 93291,Valley Manure Spreading,1728 N. Imast Visalia 93292,Joep Name Rijlaarscham Number And Street 35185 Rd 52 Kingsburg Ca 93431,35185 Rd 52 Kingsburg Ca 93631,Farmer,,,14860.0,,,The,Written Agreement,2024AR_Gerben Leyendekker Dairy #1_8517 Ave 360_Tulare,2,"(36.443208561485, -119.378528175586)","(36.429767509191, -119.456993685782)"
Gerrit Visser & Sour,,Burrow Bros Trucking & Spreading,13265 W Jenson Keman 93630,Same,,,June - Oct 2024,,5420.0,,,The,Written Agreement,2024AR_Gerrit Visser & Sons Dairy_18565 S Marks Ave_Fresno,1,,
Golden Star Dai,,Medeiros Farms,,Medeiros Farms,Caruthers 93609,Farmer,10/15/2024,,2800.0,,,Weighted Average,,2024AR_Golden Star Dairy_4109 E Conejo Ave_Fresno,1,,"(36.5400296, -119.8336176)"
,,Cain Trucking Inc.,23004 Road 140 Tulare 93274,Cain Tricking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,,Aug. 1516 1920 21222324 2024 Nov. 18-20 2024,,18843.5,,,The Amount.,Written Agreement,2024AR_Hettinga Farms Dairy_13400 Ave 120_Tulare,1,,"(36.065202036903, -119.402698566859)"
Lest Family Farms,,Richie Lest Farms Inc,,El Nido Ranch,7792 Nickle Rd Dos Palos 93620,Farmer,05/22/2024,,1735.0,,,Number Of Loads Multiplied By Load Weight.,,2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,1,,"(37.174345672677, -120.682582827603)"
Lest Family Farms,,Richie Lest Farms Inc,,El Nido Ranch,7792 Nickle Rd Dos Palos 93620,Farmer,08/29/2024,,3313.0,,,Number Of Loads Multiplied By Load Weight.,,2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,2,,"(37.174345672677, -120.682582827603)"
Lest Family Farms,,Richie Lest Farms Inc,,El Nido Ranch,7792 Nickle Rd Dos Palos 93620,Farmer,12/10/2024,,1199.0,,,Number Of Loads Multiplied By Load Weight.,,2024AR_Iest Family Farms Dairy_14576 Ave 14_Madera,3,,"(37.174345672677, -120.682582827603)"
J And A Dairy,,B Mello Ag Services,5771 7Th Ave Hanford 93230,Tachi Farming 17225 Jersey Ave Lemoore 93245,Kent Ave & 18Th Ave Lemoore 93245,,4-3-24,,1650.0,,,The,Written Agreement,2024AR_J & A Dairy LLC_16283 18th Avenue_Kings,1,,"(36.225838990056, -119.780329959365)"
J&D Wilson & Sons Dairy,,Thomas Bros Hauling,,Thomas Bro Spreadin 559) 922-0270,Riverdale 93656,Broker,01/15/2024,,6500.0,,,Weighted Average,,2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,1,,"(36.435758, -119.8682437)"
J&D Wilson & Sons Dai,,Thomas Bros Hauling,,Thomas Bro Spreading,Riverdale 93656,Broker,04/01/2024,,6500.0,,,Weighted Average,,2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,2,,"(36.435758, -119.8682437)"
J&D Wilson & Sons Dai,,Thomas Bros Hauling,,Thomas Bro Spreadin 559) 922-0270,Riverdasle 93656,Broker,12/02/2024,,4657.0,,,Weighted Average,,2024AR_J & D Wilson & Sons Dairy_11720 W Mt Whitney Ave_Fresno,3,,"(36.435758, -119.8682437)"
J&D Wilson Dry Cows,,Thomas Bros Spreading,,Thomas Bros Hauling,Riverdale 93656,Broker,07/05/2024,,850.0,,,Weighted Average,,2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno,1,,"(36.435758, -119.8682437)"
J&D Wilson Dry Cows,,Thomas Bros Spreading,,Thomas Bros Haulin 559) 352-0608,Riverdale 93656,Broker,09/10/2024,,11410.0,,,Weighted Average,,2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno,2,,"(36.435758, -119.8682437)"
Jacubus De Groot Dairy #1,,Gutierrez Spreading Llc,3612 Ave 236 Tulare 93274,Spread On Fields On Ave 328 And Rd 92 Visalia Ca,West Coast And Gravel 7715 Avc 296 Visalia Ca 93291,Composting Facility,5-22-24/5-23-24/5-24-24/11-2-24/11-3-24,,6280.0,,,Semis- Weight 20 Tons Per Truck,Written Agreement,2024AR_Jacobus DeGroot Dairy #1_31847 Rd 92_Tulare,1,,"(36.3384321, -119.3228691)"
Jaques & Silva Dai,,Rodriguez Bros Hauling,,Rodriguez Bros,Hanford 93230,Broker,10/05/2024,,1850.0,,,Weighted Average,,2024AR_Jaques & Silva Dairy_10536 6th Ave_Kings,1,,"(36.332851, -119.647705)"
Joe R Garcia Dairy Aka Netto Enterprise,,Netto Ag,,Netto A 559) 585-2097,Hanford 93230,Broker,04/04/2024,,1500.0,,,Dry Manure,,2024AR_Joe R. Garcia Dairy_20677 East Ave_Fresno,1,,"(36.332851, -119.647705)"
John Jongsma Dairy,15434 Avenue 192 Tulare Ca 93274,Turning Leaf Organics,14982 Road 152 Tipton Ca 93272,Turning Leaf Organics 14982 Road 152 Tipton Ca 93272,,,,,2304.0,,,The,Written Agreement,2024AR_John Jongsma Dairy_15434 Ave 192_Tulare,1,"(36.140568757495, -119.226980767784)",
Ka Vanderham,12565 Avenue 152 Tulare Ca 93274,E.W. Merritt Farms,11188 Road 192 Porterville Ca 93257,Merritt Yard 11188 Road 192 Porterville Ca 93257,N/A,Farmer,,,3000.0,,,The,Written Agreement,2024AR_K A Vanderham Dairy_12565 Ave 152_Tulare,2,"(36.065687715451, -119.324365106484)","(36.374105693, -119.27023)"
Kerman Cattle Co,,Burrow Bros Trucking,,Burrow Bros Truckin 559) 246-3831,Kerman 93656,Broker,10/22/2024,,2200.0,,,Weighted Average,,2024AR_Kerman Cattle Company_4301 S Dickenson Ave_Fresno,1,,"(36.435758, -119.8682437)"
Kiss Cattle Llc,2585 South Chateau Fresno Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kerman Ca 93630,Bottasso Dairy,Muscat-Westlawn,,,,1064.0,,,The,Written Agreement,"2024AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno",1,"(36.696678528887, -119.938032366307)","(36.374105693, -119.27023)"
Kiss Cattle Llc,2585 South Chateau Fresno Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kerman Ca 93630,Big De,Central Dickenson,,,,525.0,,,The,Written Agreement,"2024AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno",2,"(36.696678528887, -119.938032366307)","(37.1985547, -120.2082307)"
Kiss Cattle Llc,2585 South Chateau Fresno Avenue Fresno Ca 93706,Larry Burrows,11751 W. Jensen Ave. Kerman Ca 93630,Robin Kezirian,Jensen-Westlawn,,,,355.0,,,The,Written Agreement,"2024AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno",3,"(36.696678528887, -119.938032366307)","(36.374105693, -119.27023)"
L+J Vanderham,10772 W Mount Whitney Ave Riverdale 93656,I Murillo Trucking Inc.,7182 22Nd Ave Lemoore 93245,Name Number And Street City Zip Code Phone Number,12Th + Kent Ave Hanford 93230,,,,323.0,,,Per Load,Written Agreement,2024AR_L & J Vanderham Dairy_10772 W Mt. Whitney Ave_Fresno,1,"(36.431456965595, -119.99397922307)","(36.225824071184, -119.645727126567)"
,,,,,,,,,4150.0,,,,,2024AR_LaSalle Dairy_10663 7.5 Ave_Madera,1,,
La Salle Dairy,,Ryan Machado Green Valley Soils Compet,Chowchilla Ca,Ryan Machado 559 474-2377,,Composting Facility,5-15-24 8-22-24,,4150.0,,,The,Written Agreement,2024AR_LaSalle Dairy_10663 7.5 Ave_Madera,2,,
Lawrence Family Farms,14760 Ave. 208 Tulare 93274,John Pereira,21387 Rd.152 Tulare 93274,Name Number And Street City Zip Code Phone Number,,,Entire Year,5683200.0,3500.0,,,The Amount.,Written Agreement,2024AR_Lawrence Family Farms Dairy_14760 Ave 208_Tulare,1,"(36.168288717125, -119.243422206139)",
Little H,,Slover Bros,15302 Ave. 288 93292,·Slover Name Bros 15302 Ave 288 Visalia 93292 734-9468,Rd. 148;Y Ave. 248 Tulare 93274,,May 9 10 1314 15 16 17 2024,,3450.0,,,Approx. 6.25 Ton Ave,Written Agreement,2024AR_Little H Dairy_15804 Ave 248_Tulare,1,,"(36.240305338594, -119.340182401314)"
Louie De Groot Dairy,15081 Avenue 104 Pixley Ca 93256,Hofstee Farms Inc.,16029 Ave 136 Tipton Ca 93272,Roel Hofstee 16029 Ave 136 Tipton Ca 93272,16029 Ave 136 Tipton Ca 93272,Farmer,,,2743.0,,,The,Written Agreement,2024AR_Louie De Groot Dairy_15081 Ave 104_Tulare,1,"(35.976131030347, -119.237281037139)","(36.036432621086, -119.213812630257)"
Mancebo Holsteins #2,,Gmt - Greg Mancebo,14891 Ave 232 Tulan 93274,Don Olson Ave. 248 Tular 93274,14065 Ave 248 Tulare 93274,,8-20-24,,1100.0,,,The,Written Agreement,2024AR_Mancebo Holsteins #2 Dairy_23792 Rd 140_Tulare,1,,"(36.239804330394, -119.258973905472)"
Maple Dairy,19860 S. Maple Avenue Laton Ca 93242,Rodrigues Bros Inc,10071 6Th Avenue Hanford 93230,Rodrigues Bros Inc. 10071 6Th Avenue Hanford 93230,10071 6Th Avenue Hanford 93230,Broker,,,277.62,,,The,Written Agreement,2024AR_Maple Dairy_19860 Maple St_Fresno,1,"(36.436021075494, -119.754510786946)","(36.327387507226, -119.56385859268)"
Maya Daire,,B.A.S.,9442 Berry Mon Brod 93311,But Name 18451 Number And Street City Bwilow Zip Code 93206. Phone Number,,,7/2-3/24,,223176.0,,,The,Written Agreement,2024AR_Maya Dairy_18451 Wildwood Rd_Kern,1,,
Mara,,,Bux 70845 93390,D- Paula Emmi Corn Camp B-Whlow,,,12/16-19/24,,2719.0,,,The,Written Agreement,2024AR_Maya Dairy_18451 Wildwood Rd_Kern,2,,
Meadowlake Dairy,,Gutierrez Spreading,3612 Ave 236 Tulare Ca 93274,Williams Family Dairy 6801 Avenue 120 Pixley Ca 93256 559-752-7018,Williams Family Dairy-Compost 6801 Avenue 120 Pixley Ca 93256,,4/08/24-4/12/24,,6780.0,,,Semi 20 Tons 10-Wheeler 10 Tons,Written Agreement,2024AR_Meadowlake Dairy_6802 Avenue 120_W Tulare,1,,"(36.00737696012, -119.433640681976)"
Meadowlake Dairy,,Gutierrez Spreading,3612 Ave 236 Tulare Ca 93274,Williams Family Dairy 6801 Avenue 120 Pixley Ca 93256 559-752-7018,Williams Family Dairy-Compost 6801 Avenue 120 Pixley Ca 93256,,9/11/24-9/13/2024,,2820.0,,,Semi 20 Tons 10-Wheeler 10 Tons,Written Agreement,2024AR_Meadowlake Dairy_6802 Avenue 120_W Tulare,2,,"(36.00737696012, -119.433640681976)"
Meadowlake Dairy,,Gutierrez Spreading,3612 Ave 236 Tulare Ca 93274,Williams Family Dairy 6801 Avenue 120 Pixley Ca 93256 559-752-7018,Williams Family Dairy-Stockpile 6801 Avenue 120 Pixley Ca 93256,,9/23/24-10/01/24,,7540.0,,,Semi 20 Tons 10-Wheeler 10 Tons,Written Agreement,2024AR_Meadowlake Dairy_6802 Avenue 120_W Tulare,3,,"(36.00737696012, -119.433640681976)"
Meadowlake Dairy,,Gutierrez Spreading,3612 Ave 236 Tulare Ca 93274,Williams Family Dairy 6801 Avenue 120 Pixley Ca 93256 559-752-7018,Williams Family Dairy-Compost 6801 Avenue 120 Pixley Ca 93256,,10/21/24-11/14/24,,14910.0,,,Semi 20 Tons 10-Wheeler 10 Tons,Written Agreement,2024AR_Meadowlake Dairy_6802 Avenue 120_W Tulare,4,,"(36.00737696012, -119.433640681976)"
,9420 Ave. 320 Visalia 93291,,,Cain Trucking 559-686-5707,23004 Rd 140 Tutare 93274,,6/1 - 7/1/24,,5900.0,,,The Amount.,Written Agreement,2024AR_Mellema Dairy_9420 Ave 320_Tulare,1,"(36.37462900317, -119.361290959344)","(36.207728756688, -119.26002583432)"
Milkaholic Dairy Llc,,Netto Ag Inc./Frank Netto,10044 Flint Ave Hanford Ca 93230,Elkhorn Farms,,Farmer,4/10 & 4/11/24,,1420.0,,,The Amount.,Written Agreement,2024AR_Milkaholic Dairy LLC_6267 5th Ave_Kings,1,,
Mt. Whitney Dairy,,Thomas Bros. Spreading Inc.,,Mt. Whitney Dairy Fuller Ranch,20784 S Marks Ave Riverdale 93656,Farmer,10/06/2024,,2380.0,,,Check Weigh Loads,,2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno,1,,"(36.436559071968, -119.846083139929)"
Mt. Whitney Dai,,Thomas Bros. Spreading Inc.,,Mt. Whitney Farms,20784 S Marks Ave Riverdale 93656,Farmer,10/05/2024,,1170.0,,,Check Weigh Loads,,2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno,2,,"(36.436559071968, -119.846083139929)"
Mt. Whitney Dai,,Thomas Bros. Spreading Inc.,,Gene And Grace Davis,22391 S Hughes Ave Riverdale 93656,Farmer,05/10/2024,,204.0,,,Check Weigh Loads,,2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno,3,,"(36.411198995268, -119.845374785292)"
Nunes & Sons Dairy,,Aves Ag Services Inc,,Jerald Nunes,12329 Ave 271 Visalia 93277,Farmer,05/18/2024,,1500.0,,,Tons Per Load,,2024AR_Nunes & Sond Dairy_690 E Oakdale Ave_Tulare,1,,"(36.2826428126, -119.298325767414)"
Oakbend,,Slover Bros,15302 Ave. 288 Disalia 93292,Slover Bros. 15302 Ave. 288 Visalia 93292 734-9468,Rd. 1480 Ave. 248 Tulare 93274,,Dec. 19 20 2324 2024,,1100.0,,,6.25 Ton Ave,Written Agreement,2024AR_Oakbend Dairy_23561 Rd 168_Tulare,1,,"(36.240458786755, -119.322572191165)"
Oakbend Dairysouth,15651 Ave 192 Tulare Ca 93274,Turning Leaf Organics,14982 Road 152 Tipton Ca 93272,Turning Leaf Organics 14982 Road 152 Tipton Ca 93272,,Composting Facility,,,3402.0,,,The,Written Agreement,2024AR_Oakbend South Dairy_15651 Ave 192_Tulare,1,"(36.136378644098, -119.220819649855)",
,,,,,,,,,12144.0,,,,,2024AR_Oakbend South Dairy_15651 Ave 192_Tulare,2,,
Morning Star Dairy Inc,,Thomas Bros. Spreading Inc,,Mlt,19721 Excelsior Ave Riverdale 93656,Broker,11/25/2024,,619.45,,,Scale Wts,,2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,1,,"(36.40155859124, -119.810950979502)"
Morning Star Dairy Inc,,Eriksson Llc,,Eriksson Llc,10241 W Elkhorn Ave Burrel 93607,Farmer,05/28/2024,,1051.73,,,Scale Wts,,2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,2,,"(36.487514253933, -119.977400489141)"
Morning Star Dairy Inc,,Green Valley Soils,,Green Valley Soils,18919 Ave 23 Chowchilla 93610,Composting Facility,06/24/2024,,1968.19,,,Scale Wts,,2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,3,,"(37.084985532372, -120.20391429784)"
Morning Star Dairy Inc,,Chavira & Sons,,Chavira 559) 907-2837,113 Wainut St Madera 93637,Broker,11/22/2024,,724.81,,,Scale Wts,,2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,4,,"(36.949421617645, -120.056857997578)"
Joe Parreira Dairy,18081 17Th Avenue Stratford 93266,Guitierrez Spreading,3612 Ave 236 Tulare Ca 93274,Sandridge Company 960 N San Antonio Rd Los Altos Ca 94022,,,,,1000.0,,,The,Written Agreement,2024AR_Parreira Dairy_18081 17th Ave_Kings,1,"(36.210073007369, -119.761892035493)",
Philip Verwey Dairy Inc.,,Azevedo Trucking,,Azevedo Trucking,6465 State Hwy 152 Dos Palos 93620,Broker,10/30/2024,,3250.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",1,,"(37.047125774923, -120.607794877425)"
Philip Verwey Dairy Inc.,,Azevedo Trucking,,Azevedo Trucking,6465 State Hwy 152 Dos Palos 93620,Broker,07/09/2024,,1700.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",2,,"(37.047125774923, -120.607794877425)"
Philip Verwey Dairy Inc.,,Azevedo Trucking,,Azevedo Trucking,6465 State Hwy 152 Dos Palos 93620,Broker,07/09/2024,,3000.0,,,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",3,,"(37.047125774923, -120.607794877425)"
Rancho Sierra Vista,32866 Road 108 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Ave 328 Visalia Ca 93291,048-080-035,,,,220.0,,,The,Written Agreement,2024AR_Rancho Sierra Vista Dairy_32866 Rd 108_Tulare,1,"(36.38874303847, -119.329244931847)","(36.374105693, -119.27023)"
Rancho Sierra Vista,32866 Road 108 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Jay Te Velde 6656 Ave 328 Visalia Ca 93291,048-080-030 048-080-038,,,,250.0,,,The,Written Agreement,2024AR_Rancho Sierra Vista Dairy_32866 Rd 108_Tulare,2,"(36.38874303847, -119.329244931847)","(36.374105693, -119.27023)"
Rancho Sierra Vista,32866 Road 108 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,Name Number And Street City Zip Code Phone Number,Avenue 320 And Road 68 072-030-012 072-060-011 072-050-013 072-030-012-000 072-060-011 072-050-013,,,,750.0,,,The,Written Agreement,2024AR_Rancho Sierra Vista Dairy_32866 Rd 108_Tulare,3,"(36.38874303847, -119.329244931847)","(36.370749984109, -119.421317036926)"
Rijlaarsdam Dairy,12031 Avenue 352 Visalia Ca 93291,Family Manure,,Gerben Leyendekker Dairy 8517 Avenue 360 Visalia Ca 93291,048-070-038 048-100-005,,,,6400.0,,,The,Written Agreement,2024AR_Rijlaarsdam Dairy_12031 Ave 352_Tulare,1,"(36.428293090513, -119.304092265341)","(34.820151440259, -118.308738790306)"
Rivas Dairy,,Frank Coderniz Farming,,Frank Coderniz Farming,Dos Palos 93620,Farmer,10/01/2024,,735.0,,,Same,,2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno,1,,"(36.993888, -120.626578)"
Rivas Dairy,,Frank Coderniz Farming,,Frank Coderniz Farming,Dos Palos 93620,Farmer,05/30/2024,,880.0,,,Averaged Scale Weighed Truck Multiplied By The Number Of Truck Loads Hauled.,,2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno,2,,"(36.993888, -120.626578)"
River Oaks Dairy,3621 E. Mt. Whitney Laton Ca 93242,Rodrigues Bros Inc,10071 6Th Avenue Hanford 93230,Rodrigues Bros Inc. 10071 6Th Avenue Hanford 93230,10071 6Th Avenue Hanford 93230,Broker,,,208.22,,,The,Written Agreement,2024AR_River Oaks Dairy_3621 E Mt. Whitney Ave_Fresno,1,"(36.427626393935, -119.735407316934)","(36.327387507226, -119.56385859268)"
River Ranch Dairy,6155 Jackson Ave. Hanford 93230,Luma Ag,1654 Oriole St. Hanford 93230,Luma Ag 1654 Oriole St. Hanford 93230,,Broker,,,1534.71,,,The,Written Agreement,2024AR_River Ranch Dairy_6155 Jackson Ave_Kings,1,"(36.254587995938, -119.566094968266)",
River Ranch Dairy,6155 Jackson Ave. Hanford 93230,Ti Inc,13802 Avenue 352 Visalia 93292,Inc 13802 Avenue 352 Visalia 93292,13802 Avenue 352 Visalia 93292,Broker,,,6967.24,,,The,Written Agreement,2024AR_River Ranch Dairy_6155 Jackson Ave_Kings,2,"(36.254587995938, -119.566094968266)","(36.430257389522, -119.264641245485)"
,20799 Road 132 Tulare Ca 93274,Cain Twicking Inc.,23004 Road 140 Tulare 93274,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,,Jan. 1-5 15-19 2024 Mar. 4-7 2024,,10000.0,,,The Amount.,Written Agreement,2024AR_Riverbend Dairy_20799 Rd 132_Tulare,1,"(36.156935387364, -119.280052799396)","(36.065202036903, -119.402698566859)"
