Source PDF,Street no,Rest of PDF,County,Manifest Number,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,First Haul Date,Last Haul Date,Manure Number of Hauls,Manure Mass per Haul (tons),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
7215 S Prairie Flower Rd Turlock 2024 Dairy AR,7215, S Prairie Flower Rd Turlock 2024 Dairy AR,rancho_cordova,5,101,102,wastewater,,Lumar Dairy Farms,7215 S. Prairie Flower Rd. Turlock 95380,Lumar Pipeline,,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,,,057-013-005,,780000,,,,,Pump GPM X Run Time,,7/2/24,,,,,,,TRUE,R5-2007-0035_general_order
7215 S Prairie Flower Rd Turlock 2024 Dairy AR,7215, S Prairie Flower Rd Turlock 2024 Dairy AR,rancho_cordova,6,103,104,wastewater,,Lumar Dairy Farms,7215 S. Prairie Flower Rd. Turlock 95380,Lumar Pipeline,,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,,,057-013-005,,720000,,,,,Pump GPM X Run Time,,7/22/24,,,,,,,TRUE,R5-2007-0035_general_order
7215 S Prairie Flower Rd Turlock 2024 Dairy AR,7215, S Prairie Flower Rd Turlock 2024 Dairy AR,rancho_cordova,7,105,106,wastewater,,Lumar Dairy Farms,7215 S. Prairie Flower Rd. Turlock 95380,Lumar Pipeline,,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 204-667-7251,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 204-667-7251,,,057-013-005,,900000,,,,,Pump GPM X Run Time,,8/13/24,,,,,,,TRUE,R5-2007-0035_general_order
7215 S Prairie Flower Rd Turlock 2024 Dairy AR,7215, S Prairie Flower Rd Turlock 2024 Dairy AR,rancho_cordova,8,107,108,wastewater,,Lumar Dairy Farms,7215 S. Prairie Flower Rd. Turlock 95380,Lumar Pipeline,,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,,,057-013-005,,960000,,,,,Pump GPM X Run Time,,8/28/24,,,,,,,TRUE,R5-2007-0035_general_order
7215 S Prairie Flower Rd Turlock 2024 Dairy AR,7215, S Prairie Flower Rd Turlock 2024 Dairy AR,rancho_cordova,9,109,110,wastewater,,Lumar Dairy Farms,7215 S. Prairie Flower Rd. Turlock 95380,Lumar Pipeline,,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,Mickey Blount 5530 Ehrlich Rd. Turlock 95380 209-667-7251,,,057-013-005,,1320000,,,,,Pump GPM X Run Time,,10/1/24,,,,,,,TRUE,R5-2007-0035_general_order
7251 Crows Landing Rd Ceres 2024 Dairy AR,7251, Crows Landing Rd Ceres 2024 Dairy AR,rancho_cordova,1,102,103,manure,,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,Jf Fertilizer,900 Meredith Ave Gustine 95322,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,,,022-008-017022-008-016022-008-022022-008-013,,,Solids 4500 Content,,,@12 Tons Per Load,,,4/26/24,,,,,,,FALSE,R5-2007-0035_general_order
7251 Crows Landing Rd Ceres 2024 Dairy AR,7251, Crows Landing Rd Ceres 2024 Dairy AR,rancho_cordova,2,104,105,manure,,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,Jf Fertilizer,900 Meredith Ave Gustine 95322,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,,,022-001-002022-001-004022-001-005022-003-002022-004-001022-004-002,,,Solids 2000 Content,,,@ 12 Tons Per Load,,,5/24/24,,,,,,,FALSE,R5-2007-0035_general_order
7251 Crows Landing Rd Ceres 2024 Dairy AR,7251, Crows Landing Rd Ceres 2024 Dairy AR,rancho_cordova,3,106,107,manure,,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,Jf Fertilizer,900 Meredith Ave Gustine 95322,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,,,022-008-017022-008-016022-008-022022-008-013,,,Solids 4000 Content,,,@12 Tons Per Load,,,9/21/24,,,,,,,FALSE,R5-2007-0035_general_order
7251 Crows Landing Rd Ceres 2024 Dairy AR,7251, Crows Landing Rd Ceres 2024 Dairy AR,rancho_cordova,4,108,109,manure,,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,Jf Fertilizer,900 Meredith Ave Gustine 95322,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,Wendel Trinkler Jr. Po Box 10 Ceres 95307 209-537-9883,,,022-001-002022-001-004022-001-005022-003-002022-004-001022-004-002,,,Solids 5000 Content,,,@12 Tons Per Load,,,10/31/24,,,,,,,FALSE,R5-2007-0035_general_order
7319 Beckwith Rd Modesto 2024 Dairy AR,7319, Beckwith Rd Modesto 2024 Dairy AR,rancho_cordova,1,70,71,wastewater,,Wyeth Dairy INC.,7319,Wyeth Pipeline,,Jim Wyeth 2800 Dunn Rd. Modesto 95358 209-499-8898,Jim Wyeth 2800 Dunn Rd. Modesto 95358 209-499-8898,,,012-022-001,,1890000,,,,,31 1/2 Hours @ 1000 GPM,,4/17/24,,,,,31.5,1000,TRUE,R5-2007-0035_general_order
7319 Beckwith Rd Modesto 2024 Dairy AR,7319, Beckwith Rd Modesto 2024 Dairy AR,rancho_cordova,2,72,73,wastewater,,Wyeth Dairy INC.,7319 Beckwith Rd. Modesto 95358,Wyeth Pipeline,,Jim Wyeth 2800 Dunn Rd. Modesto 95358 209-499-8898,Jim Wyeth 2800 Dunn Rd. Modesto 95358 209-499-8898,,,012-022-001,,690000,,,,,111/2 Hours @ 1000 GPM,,5/17/24,,,,,11.5,1000,TRUE,R5-2007-0035_general_order
7319 Beckwith Rd Modesto 2024 Dairy AR,7319, Beckwith Rd Modesto 2024 Dairy AR,rancho_cordova,3,74,75,wastewater,,Wyeth Dairy INC.,7319 Beckwith Ro. Modesto 95358,Wyeth Pipeline,,Jim Wyeth 2800 Dunn Rd. Modesto 95358 209-499-898,Jim Wyeth 2800 Dunn Rd. Modesto 95358 209-499-898,,,012-022-001,,1080000,,(If Amount Reported In Tono),,,18 Hours @ 1000 GPM,,7/26/24,,,,,18,1000,TRUE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,1,33,34,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,240000,,,,,Pump GPM X Run Time,,3/21/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,2,35,36,wastewater,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Heldar Bettencourt 19960 American Spl 39 Hilmar 95324 209-652-3711,Heldar Bettencourt 19960 American Spl 39 Hilmar 95324 209-652-3711,,,057-023-015,,240000,,,,,Pump X Run Time,,,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,3,37,38,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,,,057-012-015,,525000,,,,,Pump GPM X Run Time,,4/6/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,4,39,40,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,,,057-012-005,,1050000,,,,,Pump GPM X Run Time,,4/6/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,5,41,42,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 Si Mitchell Rd. Turlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,300000,,,,,Pump Gpmx Run Time,,4/11/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,6,43,44,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-3711,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-3711,,,057-023-015,,300000,,,,,Pump Gpmx Run Time,,4/11/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,7,45,46,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,240000,,,,,Pump GPM X Run Time,,5/27/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,8,47,48,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-371,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-371,,,057-023-015,,240000,,,,,Pump GPM X Run Time,,5/27/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,9,49,50,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Jurlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,,,057-012-015,,525000,,,,,Pump GPM X Run Time,,5/31/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,10,51,52,wastewater,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Walter Soares 8407 Simmons Rd. Jurlock 95380 209-634-2856,Walter Soares 8407 Simmons Rd. Jurlock 95380 209-634-2856,,,057-012-005,,1050,,,,,Pump GPM X Run Time,,5/31/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,11,53,54,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,210000,,,,,Pump GPM X Run Time,,7/16/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,12,55,56,wastewater,,Machado Dairy,,Machado Dairy,,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-371,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-371,,,057-023-015,,210000,,,,,Pump GPM X Run Time,,7/16/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,13,57,58,wastewater,,Machado Dairy,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,,,057-012-015,,630000,,,,,Pump GPM X Run Time,,7/25/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,14,59,60,wastewater,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,,,057-012-005,,1260000,,,,,Pump GPM Run Time,,7/25/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,15,61,62,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 Si Mitchell Rd. Jurlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,225000,,,,,Pimp GPM X Run Time,,8/17/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,16,63,64,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-3711,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-3711,,,057-023-015,,225000,,,,,Pump GPM Run Time,,8/17/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,17,65,66,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,,,057-012-015,,490000,,,,,Pump GPM X Run Time,,8/23/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,18,67,68,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7415 S. Mitchell Rd. Turlock 95380,Walter Soares 8407 Simmons Rd. Jurlock 95380 209-634-2856,Walter Soares 8407 Simmons Rd. Jurlock 95380 209-634-2856,,,057-012-005,,980000,,,,,Pump GPM Run Time,,8/23/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,19,69,70,wastewater,,Machado Dairy,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,225000,,,,,Pump GPM X Run Time,,9/6/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,20,71,72,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 Mitchell Rd. Turlock 95380,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-3711,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-3711,,,057-023-015,,225000,,,,,Pump GPM X Run Time,,9/6/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,21,73,74,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,,,057-012-015,,490000,,,,,Pump GPM X Run Time,,9/11/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,22,75,76,wastewater,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,,,057-012-005,,980000,,,,,Pump GPM Run Time,,9/11/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,23,77,78,wastewater,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Jurlock 95380,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,Ron Peterson P.O. Box 754 Hilmar 95324 209-606-8021,,,057-023-006,,225000,,,,,Pump GPM X Run Time,,10/24/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,24,79,80,wastewater,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-371,Heldar Bettencourt 19960 American Spl39 Hilmar 95324 209-652-371,,,057-023-015,,225000,,,,,Pump GPM X Run Time,,10/24/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,25,81,82,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,Chopper Guys 22701 August Ave. Hilmar 95324 209-668-0443,,,057-012-015,,525000,,,,,Pump GPM X Run Time,,10/26/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,26,83,84,wastewater,,Machado Dairy,7413 S. Mitchell Rd. Jurlock 95380,Machado Dairy,7415 S. Mitchell Rd. Turlock 95380,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,Walter Soares 8407 Simmons Rd. Turlock 95380 209-634-2856,,,057-012-005,,1050000,,,,,Pump GPM X Run Time,,10/27/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,27,85,86,manure,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Jurlock 95380,Johnny Machado 7413 S. Mitchell Rd. Jurlock 95350 209-652-6924,Johnny Machado 7413 S. Mitchell Rd. Jurlock 95350 209-652-6924,,,045-020-021,,,660,48.4,,Scale Weights,,,5/22/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,28,87,88,manure,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Johnny Machado 7413 S. Mitchell Rd. Jurlock 95360 209-652-6924,Johnny Machado 7413 S. Mitchell Rd. Jurlock 95360 209-652-6924,,,045-020-022,,,660,484,,Scale Weights,,,5/22/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,29,89,90,manure,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Joey Machado 1224 Tuolumne Rd. Ceres 95307 209-606-8475,Joey Machado 1224 Tuolumne Rd. Ceres 95307 209-606-8475,1224 Tuolumne Rd. Ceres 95307,,,,,2830,48.4,,Scale Weights,,,5/26/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,30,91,92,manure,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Max Gro INC. 7413 S. Mitchell Rd. Jurlock 95380 204-652-6929,Max Gro INC. 7413 S. Mitchell Rd. Jurlock 95380 204-652-6929,10924 Hilmar Rd. Turlock 95380,,,,,1460,37.2,,Scale Weights,,,10/8/24,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,31,93,94,manure,,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,Johnny Machado 7413 S. Mitchell Rd. Turlock 95360 209-652-6929,Johnny Machado 7413 S. Mitchell Rd. Turlock 95360 209-652-6929,,,045-020-021,,,540,372,,Scale Weights,,,,,,,,,,FALSE,R5-2007-0035_general_order
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",7413," S Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,32,95,96,manure,,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,Machado Dairy,7413 S. Mitchell Rd. Jurlock 95380,Johnny Machado 7413 S. Mitchell Rd. Turlock 95350 209-652-6924,Johnny Machado 7413 S. Mitchell Rd. Turlock 95350 209-652-6924,,,,,,Solids 540 Content,,,Scale Weights,,,10/21/24,,,,,,,FALSE,R5-2007-0035_general_order
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,1,78,79,manure,x,Mitk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading (209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,1350,38,,10 Yd Spreader Box,,,11/29/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,2,80,81,manure,x,Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading (209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,946,38,,10 Yd Spreader Box,,,10/26/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,3,82,83,manure,x,Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin (209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,1128,33.6,,10 Yd Spreader Box,,,9/26/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,4,84,85,manure,x,Milk Made Dai,7509 W Oakdale Rd Snellin Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin 209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,458,33.6,,20 Yd Side Dump,,,8/20/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,5,86,87,manure,x,Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin 209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,946,33.6,,20 Yd Side Dump,,,7/10/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,6,88,89,manure,x,Milk Made Dai,7509 W Oakdale Rd Snellin Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin 209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,1624,33.6,,20 Yd Side Dump,,,,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,7,90,91,manure,x,Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreading (209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,880,33.6,,20 Yd Side Dump,,,5/2/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,8,92,93,manure,x,Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin 209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,748,33.6,,20 Yd Side Dump,,,4/26/24,,,,,,,FALSE,R5-2007-0035_software
7509 Oakdale Rd Snelling 2024 dairy AR,7509, Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,9,94,95,unknown,x,Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin 209) 358-3200,5175 Shaw Ave Winton CA 95388,5175 Shaw Ave Winton 95388,Merced,,Broker,,,,,,,,3/15/24,,,,,,,FALSE,R5-2007-0035_software
