Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Type,Destination Name,Destination Address,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Parameter Template,Destination Assessor Parcel Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded),First Haul Date,Last Haul Date,Manure Mass per Haul (tons),Is Pipeline,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manure Number of Hauls,Manure Density,Wastewater Volume per Haul (Gallons),Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Wastewater Number of Hauls,Destination Nearest Cross Street,Destination Type (Standardized),Manure Moisture (%),Manifest Type
Panama Ranch Name John Goyenetche Does The Operator Have An Agreement And Is A Wastewater,Bane !,Cabrera Brothers Name Jose Cabrera Signature Of Owner,Place Amat [Soyer J F .,,Cabrera Brothers . Signature Of Hauler,B 009 Glen Cloe Number Cabrera Ese Cab Mag Facility City/State Lamont Ca,Aug 1 2024-Aug 31 2024,,3050,68,,,R5-2007-0035_one_page_2,,,,,,,False,2024AR_Panama Ranch Dairy,kern,generic_r5,1f,18,18,,,,,,,,,,manure
Panama Ranch Name John Goyenetche Does The Operator Have An Agreement And Is A Wastewater,Bane !,Cabrera Brothers Name Jose Cabrera Signature Of Owner,Place Amat [Soyer J F .,,Cabrera Brothers . Signature Of Hauler,B 009 Glen Cloe Number Cabrera Ese Cab Mag Facility City/State Lamont Ca,Sep 1 2024-Sep 30 2024,,7385,68,,,R5-2007-0035_one_page_2,,,,,,,False,2024AR_Panama Ranch Dairy,kern,generic_r5,1g,18,18,,,,,,,,,,manure
Joe Parreira Dairy,18081 17Th Avenue Stratford 93266,Guitierrez Spreading,3612 Ave 236 Tulare Ca 93274,,Sandridge Company 960 N San Antonio Rd Los Altos Ca 94022 (408) 738-4444,,9/8/2024,,1000.0,) 71.2,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.210073007369, -119.761892035493)",,,9/8/2024,,False,2024AR_Parreira Dairy_18081 17th Ave_Kings,kings,innovative_ag,1,38,39,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Peterson Daim,30999 Peterson Rel. Mcfarland Ca 93250,Jorgen Lundgren@ Western Aa Service Inc.,Po,,Western,"7200 E. Brundage Lane Bakershold 9307 ""Bolthouse From""",10/18/24 12/11/24 2/18/25 5/22/25,,Solids 12342 Content,,Scale Amount.,,R5-2007-0035_general_order,,"(35.702657609108, -119.251985828975)","(35.35606796637, -118.925666016958)",,,,False,2024AR_Peterson Dairy_30999 Peterson Rd_Kern,kern,generic_r5,1,27,28,,,,,,,,,,manure
Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,Azevedo Trucking,6465 State Hwy 59 Dos Palos Ca 93620,Broker,Azevedo Trucking (209) 387-4290,6465 State Hwy 152 Dos Palos 93620,10/30/2024,,3250.0,87.7,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,R5-2007-0035_software,,"(36.935251004498, -120.391480000872)","(37.047125774923, -120.607794877425)",,10/30/2024,,False,"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",fresno_madera,generic_r5,1,126,127,,,,,,,State Hwy Merced,Broker,,manure
Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,Azevedo Trucking,6465 State Hwy 59 Dos Palos Ca 93620,Broker,Azevedo Trucking (209) 387-4290,6465 State Hwy 152 Dos Palos 93620,07/09/2024,,1700.0,36.2,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,R5-2007-0035_software,,"(36.935251004498, -120.391480000872)","(37.047125774923, -120.607794877425)",,7/9/2024,,False,"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",fresno_madera,generic_r5,2,128,129,,,,,,,State Hwy Merced,Broker,,manure
Philip Verwey Dairy Inc.,12852 Road 9 Madera Madera 93637,Azevedo Trucking,6465 State Hwy 59 Dos Palos Ca 93620,Broker,Azevedo Trucking (209) 387-4290,6465 State Hwy 152 Dos Palos 93620,07/09/2024,,3000.0,87.7,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled.,,R5-2007-0035_software,,"(36.935251004498, -120.391480000872)","(37.047125774923, -120.607794877425)",,7/9/2024,,False,"2024AR_Philip Verwey Dairy, Inc._12852 Road 9_Madera",fresno_madera,generic_r5,3,130,131,,,,,,,State Hwy Merced,Broker,,manure
,,J& J Spreading,P.O. Box X Pixley 93256,,Des Farms 1443 Windsong Dr Tulone 93274,,9/7/9/24,,Solids 910.8 Content,,Ave Weight,,R5-2007-0035_general_order,,,,,,,False,2024AR_Pires Dairy_13464 Ave 152_Tulare,tulare_east,livingston,1,45,46,,,,,,,,,,manure
,,,,,Des Forms 1443 Windsang Dr. Tulare 93274,,8/30 9/2-3/24,,Solids 1573.2 Content (Ons (If Amount Or Cubic Reported Yards In (Indicate,,Are Weight,,R5-2007-0035_general_order,232-150-04,,"(38.085584, -122.56526)",,3/24/2026,,False,2024AR_Pires Dairy_13464 Ave 152_Tulare,tulare_east,livingston,2,47,48,,,,,,,,,,manure
Rancho Sierra Vista,32866 Road 108 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,,Jay Te Velde 6656 Ave 328 Visalia Ca 93291 (559) 651-0464,,11/1/2024,,220.0,) 50,,Of Process Wastewater,R5-2013-0122_general_order,048-080-035,"(36.38874303847, -119.329244931847)","(36.409011, -119.312957)",,11/1/2024,,False,2024AR_Rancho Sierra Vista Dairy_32866 Rd 108_Tulare,tulare_east,innovative_ag,1,33,34,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Rancho Sierra Vista,32866 Road 108 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,,Jay Te Velde 6656 Ave 328 Visalia Ca 93291 (559) 651-0464,,11/10/2024,,250.0,) 50,,Of Process Wastewater,R5-2013-0122_general_order,048-080-030048-080-038,"(36.38874303847, -119.329244931847)",,,11/10/2024,,False,2024AR_Rancho Sierra Vista Dairy_32866 Rd 108_Tulare,tulare_east,innovative_ag,2,35,36,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Rancho Sierra Vista,32866 Road 108 Visalia Ca 93291,Double J Dairy,6656 Avenue 328 Visalia Ca 93291,,Name Number And Street City Zip Code Phone Number,Avenue 320 And Road 68 072-030-012 072-060-011 072-050-013 072-030-012-000 072-060-011,11/20/2024,,750.0,) 50,,Of Process Wastewater,R5-2013-0122_general_order,072-050-013,"(36.38874303847, -119.329244931847)","(38.497899, -123.021371)",,11/20/2024,,False,2024AR_Rancho Sierra Vista Dairy_32866 Rd 108_Tulare,tulare_east,innovative_ag,3,37,38,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Rijlaarsdam Dairy,12031 Avenue 352 Visalia Ca 93291,Family Manure,,,Gerben Leyendekker Dairy 8517 Avenue 360 Visalia Ca 93291 (559) 805-0010,,3/1-5/2024,,6400.0,) 94.2,,Of Process Wastewater,R5-2013-0122_general_order,048-070-038048-100-005,"(36.428293090513, -119.304092265341)",,5/12/2024,3/1/2026,,False,2024AR_Rijlaarsdam Dairy_12031 Ave 352_Tulare,tulare_east,innovative_ag,1,28,29,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Rivas Dairy,41198 W Valeria Ave Dos Palos Fresno 93620,Frank Coderniz Farming,40396 W. Valeria Avenue Dos Palos Ca 93620,Farmer,Frank Coderniz Farming (209) 675-1261,Dos Palos 93620,10/01/2024,,735.0,62.1,Same,,R5-2007-0035_software,,"(36.981815987186, -120.53036288397)","(36.981798981774, -120.527234981082)",,10/1/2024,,False,2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno,fresno_madera,generic_r5,1,23,24,,,,,,,W. Valeria And Jerrold Avenues Fresno,Farmer,,manure
Rivas Dairy,41198 W Valeria Ave Dos Palos Fresno 93620,Frank Coderniz Farming,40396 W. Valeria Avenue Dos Palos Ca 93620,Farmer,Frank Coderniz Farming (209) 675-1261,Dos Palos 93620,05/30/2024,,880.0,86.2,Averaged Scale Weighed Truck Multiplied By The Number Of Truck Loads Hauled.,,R5-2007-0035_software,,"(36.981815987186, -120.53036288397)","(36.981798981774, -120.527234981082)",,5/30/2024,,False,2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno,fresno_madera,generic_r5,2,25,26,,,,,,,W. Valeria Avenue And Jerrold Avenue Fresno,Farmer,,manure
River Oaks Dairy,3621 E. Mt. Whitney Laton Ca 93242,Rodrigues Bros Inc,10071 6Th Avenue Hanford 93230,Broker,Rodrigues Bros Inc. 10071 6Th Avenue Hanford 93230,10071 6Th Avenue Hanford 93230,1/31/2024 2/13 14 27-29/2024 3/5-12/2024,,208.22,) 69.9,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.427626393935, -119.735407316934)","(36.327387507226, -119.56385859268)",,12/12/2024,,False,2024AR_River Oaks Dairy_3621 E Mt. Whitney Ave_Fresno,fresno_madera,innovative_ag,1,49,50,,(If Amount Reported In Cubic Yards),,,,,,Broker,,manure
River Ranch Dairy,6155 Jackson Ave. Hanford 93230,Luma Ag,1654 Oriole St. Hanford 93230,Broker,Luma Ag 1654 Oriole St. Hanford 93230,,3/25/2024 & 11/13/2024,,1534.71,) 74.8,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.254587995938, -119.566094968266)",,,,,False,2024AR_River Ranch Dairy_6155 Jackson Ave_Kings,kings,innovative_ag,1,57,58,,(If Amount Reported In Cubic Yards),,,,,,Broker,,manure
River Ranch Dairy,6155 Jackson Ave. Hanford 93230,Ti Inc,13802 Avenue 352 Visalia 93292,Broker,Inc 13802 Avenue 352 Visalia 93292 (559) 972-1475,13802 Avenue 352 Visalia 93292,8/2830/2024 9/4 1224/2024 10/728-30/2024 11/11/2024 12/931/2024,,6967.24,) 48.1,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.254587995938, -119.566094968266)","(36.430257389522, -119.264641245485)",,,,False,2024AR_River Ranch Dairy_6155 Jackson Ave_Kings,kings,innovative_ag,2,59,60,,(If Amount Reported In Cubic Yards),,,,,,Broker,,manure
Riverbend Daim,20799 Road 132 Tulare Ca 93274,Cain Twicking Inc.,23004 Road 140 Tulare 93274,,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,Jan. 1-5 15-19 2024 Mar. 4-7 2024,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.156935387364, -119.280052799396)","(36.065202036903, -119.402698566859)",7/12/2024,5/15/2026,,False,2024AR_Riverbend Dairy_20799 Rd 132_Tulare,tulare_east,innovative_ag,1,60,60,,,,,,,,,,manure
Riverbend-North Dairy,20799 Road 132 Tulare Ca 93274,Cain Twicking Inc.,23004 Road 140 Tulare 93274,,Cain Tricking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,4/10-1216-17/2024 5/7/24 8I8-912/24 11/4 67 8 1/24,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.156935387364, -119.280052799396)","(36.065202036903, -119.402698566859)",2/12/1216,4/10/2026,,False,2024AR_Riverbend Dairy_20799 Rd 132_Tulare,tulare_east,innovative_ag,2,61,61,,,,,,,,,,manure
Riverbend. South Dairy,20799 Road 132 Tulare Ca 93274,Cain Tricking Inc.,23004 Road 140 Tulare 93274,,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,4/17-18/24 5/2-3/24 11/8/24,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.156935387364, -119.280052799396)","(36.065202036903, -119.402698566859)",,4/17/2026,,False,2024AR_Riverbend Dairy_20799 Rd 132_Tulare,tulare_east,innovative_ag,3,62,62,,,,,,,,,,manure
Riverbend-Heifer Ranch,20799 Road 132 Tulare Ca 93274,Cain Tricking Inc.,23004 Road 140 Tulare 93274,,Cain Tricking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,5/2/2024,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.156935387364, -119.280052799396)","(36.065202036903, -119.402698566859)",,5/2/2024,,False,2024AR_Riverbend Dairy_20799 Rd 132_Tulare,tulare_east,innovative_ag,4,63,63,,,,,,,,,,manure
Riverbend-East Daim,20303 Road 140 Tulare Ca 93274,Cain Tricking Inc.,23004 Road 140 Tulare 93274,,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,4/181927/2024 8/8/24 11/11-12/24,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.155694972462, -119.259657220937)","(36.065202036903, -119.402698566859)",,12/24/2026,,False,2024AR_Riverbend East Dairy_20303 Rd 140_Tulare,tulare_east,innovative_ag,1,22,22,,,,,,,,,,manure
Riverview Dairy,9295 Ave 88 93256,Gonzalez And Sons Trucking,P.O Box 2420 Tulare Ca 93274,Composting,Harvest 24487 Rd 140 Tulaves 93274 (59),,9-2526 272829 Dec 2024,,5200 Solids Content,Which Units Used),Dairy Scale,,R5-2007-0035_general_order,,"(35.946079350983, -119.36237079993)",,,2/9/2026,,False,2024AR_Riverview Dairy_9295 Avenue 88_W Tulare,tulare_west,generic_r5,1,92,93,,,,,,,,Composting Facility,,manure
Rocky Road Dairy,8609 Avenue 368 Ave Dinuba Tulare 93618,Wmj Farms,9257 Ave. 416 Ave Dinuba Ca 93618,Broker,Wmj Farms (559) 591-4907,9257 Ave. 416 Dinuba 93618,11/01/2024,,2475.0,63.4,Truck Loads,,R5-2007-0035_software,,"(36.456780161921, -119.378170855054)","(36.545012391426, -119.366190433207)",,11/1/2024,,False,2024AR_Rocky Road Dairy_8715 Ave 368_Tulare,tulare_east,generic_r5,1,79,80,,,,,,,Tulare,Broker,,manure
Rocky Road Dai,8609 Avenue 368 Ave Dinuba Tulare 93618,Valley Manure Spreading Inc.,1728 N. Irma Visalia Ca 93292,Broker,Valley Manure Spreading Inc. (559) 553-3654,Dinuba 93618,12/05/2024,,2000.0,21.5,Truck Loads,,R5-2007-0035_software,,"(36.456780161921, -119.378170855054)","(36.458869979931, -119.438890032209)",,12/5/2024,,False,2024AR_Rocky Road Dairy_8715 Ave 368_Tulare,tulare_east,generic_r5,2,81,82,,,,,,,Sawtooth Ranch Ave. 368 & Rd 60 Tulare,Broker,,manure
Rosa Dairy,4714 E Bear Mountain Blvd Wastewater Bakersfield Ca 93307 Rwqcd? No,Brachena Ag Services Inc Name Fred Amirfar Inquiry Of Those Individuals Immediately Responsible,9442 Bear Mountain Blvd. Bakersfield Ca 93311 Information Is True Accurate And Complete. I Am,Farmer,Grimmway Farms Name Grimmway Farms Va,Po Box 81498 Number /Va Facility City/State Bakersfield Ca,Apr 1 2024-Apr 30 2024,,4016,69,,,R5-2007-0035_one_page_2,845-5289,"(35.21110994984, -118.951654526848)",,,,,False,2024AR_Rosa Dairy,kern,generic_r5,1a,22,22,,,,,,,,Farmer,,manure
Rui Brasil Dairy,8061 Avenue 360 Ave Visalia Tulare 92391,Rodriguez Bros Spreading,5939 Lacey Blvd Hanford Ca 93230,Broker,Rodriguez Bros Spreading (559) 410-3806,Visalia 92391,04/09/2024,,3185.0,66.1,Tons Per Load,,R5-2007-0035_software,,"(36.443898196756, -119.391856845068)",,,4/9/2024,,False,2024AR_Rui and Jennifer Brasil Dairy_8061 Ave 360_Tulare,tulare_east,cas,1,22,23,,,,,,,Composting Facility Tulare,Broker,,manure
Sis Dairy,5311 Ave 272 Visalia 93277,Vandervis,25908 Rd 92 Tulare 93274,,Dooley Ranches 13551. Ist Ave Hanford 93230 559-901-6228,13551 Ist Ave Hanford 93230,1-1-24-12-31-24,,1725.0,65.0,Scale,,R5-2007-0035_general_order,,"(36.281071960126, -119.439602326341)","(36.332851, -119.647705)",2/1/2026,2/24/2026,,False,2024AR_S & S Dairy_5311 Avenue 272_W Tulare,tulare_west,generic_r5,1,149,150,,,,,,,,,,manure
Sea Daini,3243 Houston Ave. Hanford 93230,,,,Manuel Name Costa Number 13243 And Street Houston Ave. Hanford 93230,Number And Street City Zip Code Assessor'S Parcel Number,Entire Year,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.298852056174, -119.525400216621)",,,,,False,2024AR_S&A Dairy_13243 Houston Ave_Kings,kings,livingston,1,28,28,,,,,,,,,,manure
Santos Jer-2,25199 Road 164 Vesalsa Ca 93292,Slover Bros,15302 Ave. 288 Visalia 93292,,Slover,Rd.148.2 Ave. 248 Tware 93274,Oct. 29 2024,,306.25,,49 Dumotks@Approx 6.25 Ton Ave,,R5-2007-0035_general_order,,"(36.246814409386, -119.212459707266)","(36.240305107661, -119.340188416333)",,10/29/2024,,False,2024AR_Santos Jer-Z Dairy_Tulare,tulare_east,livingston,1,32,33,,,,,,,,,,manure
Scheenstra Dairy,16800 Rd 96 Tipton 93272,John & Jacqeline Scheenstra Trust,Po Box 1077 Tipton 93272,,John Scheenstra Po Box 1077 Tipton 93272 559-684-9983,,1-1-24-12-31-24,32000000.0,,,,Pump Rate,R5-2007-0035_general_order,228-090-004013,"(36.092172947755, -119.3539485798)",,2/1/2026,2/24/2026,,False,2024AR_Scheenstra Dairy_16800 Road 96_W Tulare,tulare_west,generic_r5,1,141,142,,,,,,,,,,wastewater
Scheenstra Dairy,Po Box 1077 Tipton Ca 93272,Turning Leaf Organics Phone Number,Turning Leaf Organics Phone,,Turning Leaf Organics,,11/22/24 & 12/10/24-12/11/24,,1296 60% Approximate Acreage (If Destination Is Cropland),,,,CAG018001,,"(36.058805564716, -119.311673805021)",,,12/11/2024,,False,2024AR_Scheenstra Dairy_16800 Road 96_W Tulare,tulare_west,generic_r5,2,143,143,,,,,,,,,,manure
Sierra View Dairy,13376 Avenue 224 Tulare Ca 93274,Cain Twicking Inc.,23004 Road 140 Tulare 93274,Composting,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,April 9-10 26 29-30 2024 1 May 1-2 2024,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.197300202305, -119.274610178207)","(36.065202036903, -119.402698566859)",2/12/2024,10/26/2029,,False,2024AR_Sierra View Dairy+13376 Ave 224_Tulare,tulare_east,innovative_ag,1,67,67,,,,,,,,Composting Facility,,manure
Siena View Dairy,13376 Avenue 224 Tulare 93274,Cain Trucking Inc.,23004 Road 140 Tulare 93274,,Cain Trucking Inc. 23004 Road 140 Tulare 93274,7559 Ave. 152 Tipton 93272,1/18-19/2024,,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(36.197300202305, -119.274610178207)","(36.065202036903, -119.402698566859)",,1/18/2026,,False,2024AR_Sierra View Dairy+13376 Ave 224_Tulare,tulare_east,innovative_ag,2,68,68,,,,,,,,,,manure
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Farmer,Silveira Dairy Heifers (559) 978-6087,Chowchilla 93610,01/01/2024,3030000.0,,,,Hrs Pumped X Gpm,R5-2007-0035_software,,"(37.062726047385, -120.34327047893)","(37.062462017435, -120.361137008463)",,1/1/2024,,True,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,fresno_madera,cas,1,52,53,,,,,,,10221 Ave 21 1/2 Madera,Farmer,,wastewater
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Farmer,Silveira Dairy Heifers (559) 978-6087,Chowchilla 93610,04/04/2024,3600000.0,,,,Hrs Pumped X Gpm,R5-2007-0035_software,,"(37.062726047385, -120.34327047893)","(37.062462017435, -120.361137008463)",,4/4/2024,,True,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,fresno_madera,cas,2,54,55,,,,,,,10221 Ave 21 1/2 Madera,Farmer,,wastewater
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Farmer,Silveira Dairy Heifers (559) 978-6087,Chowchilla 93610,05/20/2024,3960000.0,,,,Hrs Pumped X Gpm,R5-2007-0035_software,,"(37.062726047385, -120.34327047893)","(37.062462017435, -120.361137008463)",,5/20/2024,,True,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,fresno_madera,cas,3,56,57,,,,,,,10221 Ave 21 1/2 Madera,Farmer,,wastewater
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Farmer,Silveira Dairy Heifers (559) 978-6087,Chowchilla 93610,06/30/2024,3720000.0,,,,Hrs Pumped X Gpm,R5-2007-0035_software,,"(37.062726047385, -120.34327047893)","(37.062462017435, -120.361137008463)",,6/30/2024,,True,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,fresno_madera,cas,4,58,59,,,,,,,10221 Ave 21 1/2 Madera,Farmer,,wastewater
Silveira Dairy,11277 Avenue 21 1/2 Chowchilla Madera 93610,Silveira Dairy Pipeline,11277 Ave 21 1/2 Chowchilla Ca 93610,Farmer,Silveira Dairy Heifers (559) 978-6087,Chowchilla 93610,07/13/2024,2520000.0,,,,Hrs Pumped X Gpm,R5-2007-0035_software,,"(37.062726047385, -120.34327047893)","(37.062462017435, -120.361137008463)",,7/13/2024,,True,2024AR_Silveira Dairy_11277 Ave 21.5_Madera,fresno_madera,cas,5,60,61,,,,,,,10221 Ave 21 1/2 Madera,Farmer,,wastewater
Skyline Dairy,15992 Ave 192 Tulare Ca 93274,Turning Leaf Organics,14982 Road 152 Tipton Ca 93272,Compost Facility,Turning Leaf Organics 14982 Road 152 Tipton Ca 93272,,5/8/24-5/25/24,,14513.0,) 77.9,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.139537531947, -119.21520612166)",,5/8/2024,5/25/2024,,False,2024AR_Skyline Dairy_15992 Ave 192_Tulare,tulare_east,innovative_ag,1,32,33,,(If Amount Reported In Cubic Yards),,,,,,Composting Facility,,manure
Skyline Dairy,15992 Ave 192 Tulare Ca 93274,Turning Leaf Organics 14982 Road 152 Tipton Ca 93272 Phone Number,Turning Leaf Organics 14982 Road 152 Tipton Ca 93272 Phone,,Turning Leaf Organics,,5/8/24-5/25/24,,14513 Approximate Acreage (If Destination Is Cropland),,,,CAG018001,,"(36.139537531947, -119.21520612166)",,5/8/2024,5/25/2024,,False,2024AR_Skyline Dairy_15992 Ave 192_Tulare,tulare_east,innovative_ag,2,34,34,,,,,,,,,,manure
Skyline Dairy,15992 Ave 192 Tulare Ca 93274,Turning Leaf Organics,14982 Road 152 Tipton Ca 93272,,Turning Leaf Organics 14982 Road 152 Tipton Ca 93272,,10/17/2024-10/22/2024,,3520.0,) 72.3,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.139537531947, -119.21520612166)",,10/17/2024,10/22/2024,,False,2024AR_Skyline Dairy_15992 Ave 192_Tulare,tulare_east,innovative_ag,3,35,36,,(If Amount Reported In Cubic Yards),,,,,,,,manure
Skyline Dairy,,Turning Leaf Organics Phone Number,Turning Leaf Organics Phone,,Turning Leaf Organics,,10/17/24-10/22/24,,3520 Approximate Acreage (If Destination Is Cropland),,,,CAG018001,,,,10/17/2024,10/22/2024,,False,2024AR_Skyline Dairy_15992 Ave 192_Tulare,tulare_east,innovative_ag,4,37,37,,,,,,,,,,manure
Skyline Dairy,15992 Ave 192 Tulare Ca 93274,Netto Ag Inc,10044 Flint Ave Hanford Ca 93230,,Mark Heuer,,11/15/2024-11/22/2024,,1800.0,) 72.3,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.139537531947, -119.21520612166)",,11/15/2024,11/22/2024,,False,2024AR_Skyline Dairy_15992 Ave 192_Tulare,tulare_east,innovative_ag,5,38,39,,(If Amount Reported In Cubic Yards),,,,,,,,manure
,1495 Jumper Ave Wasco 93280,,,,Harry & Jacob Samaria 13630 Mencham Rd,Number And Street City Zip Code Assessor'S Parcel Number,Entire Year,13507200.0,Solids,,The Amount.,,R5-2007-0035_one_page_1,,"(35.565105479271, -119.420681896029)",,,,,False,2024AR_Solo Dairy_11495 Jumper Ave_Kern,kern,livingston,1,70,70,,,,,,,,,,both
Sousa Dairy,7709 Avenue 376 Dinuba. 93618,Sousa Ag Compost Inc,P.O Box 725 Stratford 93266,Broker,John Sousa P.O Box 725 Stratford 93266 559-469-7017,,9-5-24/9-29-24,,1200.0,,Scale Weight,,R5-2007-0035_general_order,,"(36.469435326974, -119.400703673903)",,2/5/2026,2/24/2026,,False,2024AR_Sousa Dairy_7709 Ave 376_Tulare,tulare_east,generic_r5,1,72,73,,,,,,,,Broker,,manure
South Corner Dairy,8150 Ave 360 Visalia Ca 93291,Trinidad Macias,13301 Ave 428 Orosi Ca 93647,Composting Facility,Name Number And Street City Zip Code Phone Number,23530 E. Kings Canyon Rd Reedley Ca 93654,6/6/2024 & 7/12/2024,,638.0,) 75.3,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.444336178919, -119.389794040187)","(36.726904384199, -119.364200485574)",,,,False,2024AR_South Corner Dairy_8150 Ave 360_Tulare,tulare_east,innovative_ag,1,23,24,,(If Amount Reported In Cubic Yards),,,,,,Composting Facility,,manure
T.M. Nursery,,Trinidad Macias Phone Number,Trinidad Macias Phone,,23530 E. Kings Canyon Rd Reedley Ca,,6/6/24 7/12/24,,Approximate Acreage (If Destination Is Cropland),,,,CAG018001,,,,,,,False,2024AR_South Corner Dairy_8150 Ave 360_Tulare,tulare_east,innovative_ag,2,25,25,,,,,,,,,,manure
South Corner Dairy,8150 Ave 360 Visalia Ca 93291,Valley Manure Spreading,1728 N. Irma Street Visalia Ca 93292,Croplands,Rijlaarsdam Farms,35185 Rd 52 Kingsburg Ca 93631,7/1/2024,,440.0,) 75.3,,Of Process Wastewater,R5-2013-0122_general_order,,"(36.444336178919, -119.389794040187)","(36.429767509191, -119.456993685782)",,7/1/2024,,False,2024AR_South Corner Dairy_8150 Ave 360_Tulare,tulare_east,innovative_ag,3,26,27,,(If Amount Reported In Cubic Yards),,,,,,Croplands,,manure
South Corner Dairy,8517 Ave 360 Visalia Ca 93291,Phone Number,Phone,,,,,,Approximate Acreage (If Destination Is Cropland),,,,CAG018001,,"(36.443208561485, -119.378528175586)",,,,,False,2024AR_South Corner Dairy_8150 Ave 360_Tulare,tulare_east,innovative_ag,4,28,28,,,,,,,,,,manure
South Creek Dairy,11450 Avenue 64 Earlimart Ca 93219,Etchegaray Farms Llc,,,Name Number And Street City Zip Code Phone Number,,10/1/2024,,800.0,) 37.4,,Of Process Wastewater,R5-2013-0122_general_order,333-230-008333-230-009333-180-014313-030-014,"(35.906848020808, -119.316382985244)",,,10/1/2024,,False,2024AR_South Creek Dairy_11450 Avenue 64_W Tulare,tulare_west,innovative_ag,1,27,28,,(If Amount Reported In Cubic Yards),,,,,,,,manure
South Lest Dairy (Former Milk Time Dairy),12519 Road 17 Madera Madera 93637,Ritchie Lest Farms Inc.,14676 Avenue 14 Madera Ca 93637,Farmer,El Nido Ranch (209) 675-8658,7792 Nickle Rd Dos Palos 93620,05/16/2024,,750.0,65.1,Number Of Loads Multiplied By Load Weight,,R5-2007-0035_software,,"(36.931049728227, -120.237577477728)","(37.174345672677, -120.682582827603)",,5/16/2024,,False,2024AR_South Iest Dairy (former Milk Time Dairy)_12519 Road 16_Madera,fresno_madera,generic_r5,1,129,130,,,,,,,Merced,Farmer,,manure
