RB,Responsible Party,Place (Facility),WDID,Violation ID,Violation Type,Priority Violation,Violation Program,Status, Date Occured,Violation Description,Comments,Corrective Action,Enforcement Action ID,Enforcement Action,EA Order Number,EA Effective Date,County,Staff,Discovery Date
5F,Vanden Berg Old River Investment Company Inc(+),Vanden Berge Dairy,5D155057002,1140090,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,12/17/24,"Third quarter wastewater sample results were not documented in the 2021 Annual Report, fourth quarter wastewater samples results were not documented in the 2022 Annual Report, second and third quarter wastewater sample results were not included in the 2023 Annual Report, and biennial wastewater sample results for general minerals were not documented in the 2022 through 2023 Annual Reports, which is a violation of the MRP, Table 2, Nutrient Monitoring, Process Wastewater. Fourth quarter 2023 wastewater sample results were included in the 2023 Annual Report resolving the violation for the wastewater sample results from fourth quarter 2022. According to Jim Griffin (consultant for the Dairy), the remaining wastewater sample results are not available.",,,460007,Oral Communication,null,2/18/25,Kern,Brian D Hitz,null
5F,Vanden Berg Old River Investment Company Inc(+),Vanden Berge Dairy,5D155057002,1140091,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,12/17/24,"Manure sample results were not included in the 2022 Annual Report, and biennial manure sample results for general minerals were not documented in the 2022 through 2023 Annual Reports, which is a violation of the MRP, Table 2, Nutrient Monitoring, Manure. Manure sample results were included in the 2023 Annual Report resolving the violation for the 2022 manure sample results. According to Jim Griffin, the biennial manure results for 2022 through 2023 are not available. ",,,460007,Oral Communication,null,2/18/25,Kern,Brian D Hitz,null
5F,Vanden Berg Old River Investment Company Inc(+),Vanden Berge Dairy,5D155057002,1140092,Order Conditions,B,ANIWSTCOWS,Violation,12/17/24,"Stormwater inspection records were not available for review, which is a violation of the MRP, Table 1, Inspections, Production Area. According to Jim Griffin, stormwater inspection records are not available.",,,460007,Oral Communication,null,2/18/25,Kern,Brian D Hitz,null
5F,"Vander Poel, John",Whiteside Dairy,5D155087001,1140093,Reporting -> Failure to Notify,B,ANIWSTCOWS,Violation,10/21/24,"The Dairy added a manure storage area outside the production area defined in the Dairy’s revised Waste Management Plan. Failure to submit a Report of Waste Discharge (ROWD) with appropriate technical documentation at least 140 days prior to expanding the Dairy’s production area is a violation of Provision G.4. On 17 January 2025, Garrison Fernandes of Livingston Dairy Consulting, Inc. (LDC) submitted an updated Nutrient Management Plan accounting for the manure storage area. ",,,460008,Notice of Violation,null,2/18/25,Kern,Brian D Hitz,null
5F,Kootstra Family Trust - Perrin Koostra,Kootstra Dairy,5C15NC00035,1140094,Order Conditions,B,ANIWSTCOWS,Violation,2/8/24,"Excessive vegetation was observed at Retention Ponds 1 and 2, which is a violation of Pond Specification C.2.b and is inconsistent with the Operations and Maintenance Plan prepared for the Dairy, as required by Attachment B, Waste Management Plan for the Production Area, Item V.B. ",,,460009,Notice of Violation,null,2/18/25,Kern,Brian D Hitz,null
5F,Kootstra Family Trust - Perrin Koostra,Kootstra Dairy,5C15NC00035,1140095,Order Conditions,B,ANIWSTCOWS,Violation,2/8/24,"A setback plan to prevent the application of Dairy waste to cropland within 100 feet of groundwater wells and surface water bodies was not available for review, which is a violation of General Specification B.7 and Standard Provisions and Reporting Requirement B.18.",,,460009,Notice of Violation,null,2/18/25,Kern,Brian D Hitz,null
5F,Kootstra Family Trust - Perrin Koostra,Kootstra Dairy,5C15NC00035,1140096,Order Conditions,B,ANIWSTCOWS,Violation,2/8/24,"A setback plan to prevent the application of Dairy waste to cropland within 100 feet of groundwater wells and surface water bodies was not available for review, which is a violation of General Specification B.7 and Standard Provisions and Reporting Requirement B.18.",,,460009,Notice of Violation,null,2/18/25,Kern,Brian D Hitz,null
5F,"Griffioen, Daniel & Brent Mulder",Bar None/Van Der Hoek Dairy,5C10NC00060,1140112,Order Conditions,B,ANIWSTCOWS,Violation,2/6/24,"Excessive vegetation was observed along the sidewalls of the wastewater settling ponds, which is a violation of Pond Specification C.2.b and is inconsistent with the Operations and Maintenance Plan prepared for the Dairy, as required by Attachment B, Waste Management Plan for the Production Area, Item V.B. Staff made several attempts to obtain the necessary information to resolve this violation.",,,460016,Notice of Violation,null,2/18/25,Fresno,Jameela Zaghmouri,null
5F,"Bouma, Peter(+)",Poso Creek Family Dairy,5D155061002,1140142,Reporting -> Failure to Notify,B,ANIWSTCOWS,Violation,12/4/24,"The Dairy added a feed storage area outside the production area defined in the Dairy’s Waste Management Plan Addendum. Failure to submit a Report of Waste Discharge (ROWD) with appropriate technical documentation at least 140 days prior to expanding the Dairy’s production area is a violation of Provision G.4. Subsequent to the inspection, I provided Brandon Wininger of Sentry Ag Services, LLC (consultant for the Dairy) with a map showing the feed storage area.",,,460022,Notice of Violation,null,2/19/25,Kern,Brian D Hitz,null
5F,F&S Brasil Dairy(+),F&S Brasil Dairy,5D165056001,1140524,Order Conditions,B,ANIWSTCOWS,Violation,10/15/24,Excessive vegetation was observed in the south wastewater pond in violation of Pond Specification C.2.b.,,,460061,Notice of Violation,null,2/25/25,Kings,Lewis Lummen,null
5F,F&S Brasil Dairy(+),F&S Brasil Dairy,5D165056001,1140525,Order Conditions,B,ANIWSTCOWS,Violation,10/15/24,Ponding was observed in corrals with manure more than 72-hours after a precipitation event in violation of Production Area Specifications D.6 and Item V.F. of Attachment B. ,,,460061,Notice of Violation,null,2/25/25,Kings,Lewis Lummen,null
5F,F&S Brasil Dairy(+),F&S Brasil Dairy,5D165056001,1140526,Order Conditions,B,ANIWSTCOWS,Violation,10/15/24,The Dairy has expanded the Production Area footprint without providing a Report of Waste Discharge in violation of Provisions G.4. ,,,460061,Notice of Violation,null,2/25/25,Kings,Lewis Lummen,null
5F,F&S Brasil Dairy(+),F&S Brasil Dairy,5D165056001,1140534,Order Conditions,B,ANIWSTCOWS,Violation,10/15/24,The land application area south of the wastewater ponds received Dairy waste for non-nutrient recycling in violation of Prohibition A.9. ,,,460061,Notice of Violation,null,2/25/25,Kings,Lewis Lummen,null
5F,F&S Brasil Dairy(+),F&S Brasil Dairy,5D165056001,1140535,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,10/15/24,A Priority Report for Significant Events (PROSE) report was not submitted in accordance to Section C of the Monitoring and Reporting Program in conjunction with Violation 5. ,,,460061,Notice of Violation,null,2/25/25,Kings,Lewis Lummen,null
5F,Pete and Agnes de Jong Family Trust,Oasis Holsteins Dairy,5D155065001,1142022,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,12/16/24,"General mineral analytical results for wells Barn, 1-Griffith, and 2-Cow were not documented in the 2019 through 2023 Annual Reports, which is a violation of the MRP, Table 4, Groundwater Monitoring. On 19 December 2024, Marlene Ferreira of Livingston Dairy Consulting, Inc. (LDC) provided general mineral analytical results from groundwater samples collected from wells Barn, 1-Griffith, and 2-Cow in 2024. This violation has been resolved.",,,460699,Oral Communication,null,4/10/25,Kern,Brian D Hitz,null
5F,"Plantega, George(+)",Western Sky Dairy,5D155092001,1142023,Reporting -> Deficient Reporting,B,ANIWSTCOWS,Violation,8/7/23,"Groundwater sample analyses were not documented in the 2020 Annual Report and for well WSD W5 in the 2022 Annual Report, which is a violation of the MRP, Table 4, Groundwater Monitoring. According to information provided in the 2020 Annual Report, analytical results for the missing groundwater samples are not available. The groundwater sample results for well WSD W5 were not included in the 2023 Annual report.",,,460700,Oral Communication,null,4/10/25,Kern,Brian D Hitz,null
5F,"Pereira, Steve & Sheri",Pereira Dairy,5C54NC00239,1142147,Order Conditions,B,ANIWSTCOWS,Violation,10/14/24,"C. 2.: Pond Specifications; Ponds shall be managed and maintained to prevent breeding of mosquitoes and other vectors. In particular, b. Weeds shall be minimized through control of water depth, harvesting, or other appropriate method; c. Dead algae, vegetation, and debris shall not accumulate on the water surface",,,null,null,null,null,Tulare,Eraldo  Melara,10/14/24
5F,"Pereira, Steve & Sheri",Pereira Dairy,5C54NC00239,1142176,Order Conditions,B,ANIWSTCOWS,Violation,10/14/24,"Waste applications to crops grown at the Dairy fields, as indicated by the 2020, 2021, 2022, and 2023 Annual Reports, have resulted in nitrogen balance ratios in excess of 1.65.","Nutrient applications resulting in nitrogen balance ratios in excess of 1.65 are in violation of Land Application Specification E.5.a and Attachment C, Technical Standards for Nutrient Management, Nutrient Application Rates, Nitrogen, section B.2.b.",,null,null,null,null,Tulare,Eraldo  Melara,10/14/24
5F,"Wilson, Jim & Darla",J & D Wilson & Sons Dairy,5C10NC00055,1142768,Order Conditions,B,ANIWSTCOWS,Violation,10/31/23,"The Dairy added a manure storage area outside the production area defined in Dairy’s revised Waste Management Plan. Failure to submit a Report of Waste Discharge (ROWD) with appropriate technical documentation at least 140 days prior to expanding the Dairy’s production area is a violation of Provision G.4. On 24 February 2025, Ms. Medeiros emailed a completed ROWD Form 200, an updated Nutrient Management Plan (NMP) signed by a certified crop advisor, and a letter stating that Mariann Cardoso was retained and will be finalizing the review for the Waste Management Plan (WMP) by the end of the month. On 7 March 2025, Ms. Medeiros emailed an updated WMP signed by and certified with the stamp of Manuel R. Sousa, a California Registered Civil Engineer. This violation has been resolved.",,,null,null,null,null,Fresno,Jameela Zaghmouri,10/31/23
5F,"Rivas, Rafael",Rivas Dairy,5B10NC00003,1142839,Order Conditions,B,ANIWSTCOWS,Violation,10/17/24,Excessive vegetation growth was observed along the sidewalls of the wastewater storage ponds. Pond Specifications C.2.b and C.2.c require the control of vegetation to provide vector control and maintain pond functional capacity.,,,null,null,null,null,Fresno,Jameela Zaghmouri,10/17/24
5F,"Rivas, Rafael",Rivas Dairy,5B10NC00003,1142848,Order Conditions,B,ANIWSTCOWS,Violation,10/17/24,"Laboratory analyses for general minerals were not documented within the last five years, as required by the MRP, Table 4, Groundwater Monitoring, Domestic and Agricultural Supply Wells. ",,,null,null,null,null,Fresno,Jameela Zaghmouri,10/17/24
5F,"Pacheco, Frank L",Pacheco & Associates II Heifer Ranch,5C54NC00383,1143148,Order Conditions,B,ANIWSTCOWS,Violation,10/23/24,Excessive vegetation was observed in the wastewater pond in violation of Pond Specifications C.6.b.,,,null,null,null,null,Tulare,Eraldo  Melara,10/23/24
5F,"Pacheco, Frank L",Pacheco & Associates II Heifer Ranch,5C54NC00383,1143175,Order Conditions,B,ANIWSTCOWS,Violation,10/24/24,"C. 2., Pond Specifications: The Confined Bovine Feeding Operation shall have facilities that are designed, constructed, operated, and maintained to retain all wastewater generated during the storage period (maximum period of time anticipated between land applications of wastewater), together with all precipitation on and drainage through manured areas, up to and including during a 25-year, 24-hour storm (see Section B of Attachment B, which is attached to and made part of this Order). Attachment B. B. An engineering report demonstrating that the facility has adequate containment capacity.","Waste Management Plan shows facility does not have capacity to retain all facility wastewater generated, together with all precipitation on and drainage through manured areas, up to and including during a 25-year, 24-hour storm.",,null,null,null,null,Tulare,Eraldo  Melara,10/24/24
5F,"Pacheco, Frank L",Pacheco & Associates II Heifer Ranch,5C54NC00383,1143459,Order Conditions,B,ANIWSTCOWS,Violation,10/24/24,"Pond Specifications C.4. In the Tulare Lake Basin, Confined Bovine Feeding Operations in operation on or before 25 July 1975 shall be protected from inundation or washout from overflow from any stream channel during 20-year peak stream flows and Confined Bovine Feeding Operations constructed after 25 July 1975 shall be protected from 100-year peak stream flows. Confined Bovine Feeding Operations that were expanded after 8 December 1984 shall be protected from 100-year peak stream flows.","Required Reports and Notices K.1.C. Waste Management Plan: """"...The Waste Management Plan shall provide an evaluation of the Confined Bovine Feeding Operation's design, construction, operation, and maintenance for flood protection and waste containment and whether the facility complies with Prohibition A.14 (backflow prevention on wells), Pond Specifications C.2 through C.4 (flood protection),...""""",Proposed modifications or improvements in the WMP with the corresponding design to achieve the necessary flood protection and a schedule for construction and certification of completion to comply with the Schedule of Tasks M.1 of the Bovine General Order.,null,null,null,null,Tulare,Eraldo  Melara,10/24/24
