Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Number of 10-ton Hauls for Analysis,Number of 20-ton Hauls for Analysis
5001 Shiloh Rd Modesto 2024 Dairy AR,1,32,33,Ed Machado Dairy #2,5001 Shiloh Road Modesto CA 95358,37.565598286486,-121.142920470397,1221 W. Lorenzen Road Tracy CA,Destination Address,Other,37.748603060724,-121.316924840825,,,False,,25.0,26.0,650.0,15.8,41,12
5070 S Hunt Rd Gustine 2024 Dairy AR,1,122,123,Bar Mac Dairy,5070 S Hunt Rd Gustine Merced 95322,37.216080090597,-120.993745644108,3410 S Hunt Rd Gustine 95322 Merced,Destination Address,Composting Facility,37.23988519853,-120.993873468132,,2024-05-15,False,,,,2800.0,29.2,175,53
5070 S Hunt Rd Gustine 2024 Dairy AR,2,124,125,Bar Mac Dairy,5070 S Hunt Rd Gustine Merced 95322,37.216080090597,-120.993745644108,900 Meredith Gustine 95322 Merced,Destination Address,Composting Facility,37.24919296673,-121.003727736419,,2024-06-01,False,,,,5500.0,29.2,343,103
5070 S Hunt Rd Gustine 2024 Dairy AR,3,126,127,Bar Mac Dairy,5070 S Hunt Rd Gustine Merced 95322,37.216080090597,-120.993745644108,900 Meredith Gustine 95322 Merced,Destination Address,Composting Facility,37.24919296673,-121.003727736419,,2024-12-05,False,,,,7900.0,24.6,493,148
5201 Milnes Rd Modesto 2024 Dairy AR,1,34,35,Art Silva Dairy,5201 Milnes Rd Modesto Stanislaus 95357,37.6836714324,-120.900043007405,Stevinson 95374 2Nd Ave Merced,Destination Address,Broker,37.335220884386,-120.918111684198,,2024-06-05,False,,,,4654.0,29.0,291,87
5201 Milnes Rd Modesto 2024 Dairy AR,2,36,37,Art Silva Dairy,5201 Milnes Rd Modesto Stanislaus 95357,37.6836714324,-120.900043007405,Stevinson 95374 2Nd Ave Merced,Destination Address,Broker,37.335220884386,-120.918111684198,,2024-10-10,False,,,,3536.0,62.4,221,66
5201 Milnes Rd Modesto 2024 Dairy AR,3,38,39,Art Silva Dairy,5201 Milnes Rd Modesto Stanislaus 95357,37.6836714324,-120.900043007405,Modesto 95357 Dewitt Rd Stanislaus,Destination Address,Farmer,37.676929909054,-120.907537515186,,2024-10-31,False,,,,320.0,29.0,20,6
5217 Oak Ave Merced 2024 Dairy AR,1,68,69,Eugenio Azevedo Dairy #1,5217 Oak Avenue Merced Merced 95340,37.280116154477,-120.58311218423,Hilmar 95324 Rexford And Geer Roads Merced,Destination Address,Broker,,,,2024-09-19,False,,,,3200.0,70.4,200,60
5217 Oak Ave Merced 2024 Dairy AR,2,70,71,Eugenio Azevedo Dairy #1,5217 Oak Avenue Merced Merced 95340,37.280116154477,-120.58311218423,Hilmar 95324 Rexford And Geer Roads Merced,Destination Address,Broker,,,,2024-07-03,False,,,,2600.0,87.0,162,49
5217 Oak Ave Merced 2024 Dairy AR,3,72,73,Eugenio Azevedo Dairy #1,5217 Oak Avenue Merced Merced 95340,37.280116154477,-120.58311218423,Hilmar 95324 Rexford And Geer Roads Merced,Destination Address,Broker,,,,2024-05-30,False,,,,2250.0,76.8,140,42
5254 Blue Gum Ave Modesto 2024 Dairy AR,1,34,35,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,012-018-015,Destination Assessor Parcel Number,Other,38.376751,-120.478951,,2024-06-03,False,,10.0,200.0,2000.0,-78.4,200,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,2,36,37,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,076-026-005,Destination Assessor Parcel Number,Other,37.6924,-121.08114,,2024-05-23,False,,10.0,200.0,2000.0,-78.4,200,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,3,38,39,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,012-010-021,Destination Assessor Parcel Number,Other,34.462494,-119.695482,,2024-05-27,False,,10.0,20.0,200.0,-24.1,20,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,4,40,41,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,003-001-017,Destination Assessor Parcel Number,Other,37.710302,-121.151952,,2024-05-27,False,,10.0,20.0,200.0,-24.1,20,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,5,42,43,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,076-032-005,Destination Assessor Parcel Number,Other,35.245158,-120.80685,,2024-06-01,False,,10.0,88.0,880.0,-24.1,88,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,6,44,45,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,081-031-002,Destination Assessor Parcel Number,Other,38.003933,-120.264786,,2024-10-19,False,,10.0,78.0,780.0,-27.3,78,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,7,46,47,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,012-018-015,Destination Assessor Parcel Number,Other,38.376751,-120.478951,,2024-11-02,False,,10.0,100.0,1000.0,-78.8,100,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,8,48,49,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,017-065-012,Destination Assessor Parcel Number,Other,37.621627,-121.143367,,2024-11-14,False,,10.0,60.0,600.0,-78.8,60,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,9,50,51,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,003-011-006,Destination Assessor Parcel Number,Other,38.279192,-120.984766,,2024-11-14,False,,10.0,60.0,600.0,-78.8,60,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,10,52,53,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,005-030-004,Destination Assessor Parcel Number,Other,36.62878,-119.208974,,2024-11-22,False,,10.0,50.0,500.0,-78.8,50,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,11,54,55,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,012-055-011,Destination Assessor Parcel Number,Other,35.47328,-120.713717,,2024-11-22,False,,10.0,76.0,760.0,-78.8,76,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,12,56,57,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,056-059-007,Destination Assessor Parcel Number,Other,37.586442,-121.027871,,2024-12-04,False,,10.0,60.0,600.0,-27.3,60,0
5254 Blue Gum Ave Modesto 2024 Dairy AR,13,58,59,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,081-002-045,Destination Assessor Parcel Number,Other,34.400431,-119.726106,,2024-11-13,False,,10.0,50.0,500.0,-27.3,50,0
"5297 Kelley Rd, Hilmar 2024 Dairy AR",1,123,124,Borba Dairy Farms,5297 Kelley Road Hilmar CA 95324,37.36613153823,-120.955899591071,,,Farmer,,,,2024-10-30,False,,,,2500.0,81.6,156,47
5306 Langworth Rd Oakdale 2024 Dairy AR,1,22,23,Langworth Dairy,Langworth Rd. Oakdale 95361,37.743661538465,-120.894807875981,14303 Campbell Rd. Escalon 95361,Destination Address,Other,37.834329520275,-120.980995092998,,2024-05-01,False,,,,3325.0,54.8,208,62
5511 W Sandy Mush Rd Merced 2024 Dairy AR,1,152,153,Homen Dairy Farms,5511 W Sandy Mush Rd Merced Merced 95341-8404,37.185708138713,-120.591672621943,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-03-27,False,,,,4350.0,63.2,272,82
5511 W Sandy Mush Rd Merced 2024 Dairy AR,2,154,155,Homen Dairy Farms,5511 W Sandy Mush Rd Merced Merced 95341-8404,37.185708138713,-120.591672621943,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-04-24,False,,,,5125.0,63.2,320,96
5511 W Sandy Mush Rd Merced 2024 Dairy AR,3,156,157,Homen Dairy Farms,5511 W Sandy Mush Rd Merced Merced 95341-8404,37.185708138713,-120.591672621943,8522 W Sandymush Rd Merced 95341 Merced,Destination Address,Farmer,37.190011449712,-120.646175528246,,2024-04-23,False,,,,2400.0,41.7,150,45
"5725 Ehrlich Rd, Turlock 2024 Dairy AR",1,27,28,Ehrlich Dairy,5725 Ehrlich Road Turlock CA 95380,37.433998970051,-120.916095609272,19075 3Rd Ave Stevinson 95374,Destination Address,Composting Facility,37.325729172363,-120.834534746052,,2024-05-11,False,,,,1800.0,81.2,112,34
"5725 Ehrlich Rd, Turlock 2024 Dairy AR",2,29,30,Ehrlich Dairy,5725 Ehrlich Road Turlock CA 95380,37.433998970051,-120.916095609272,19075 3Rd Ave Stevinson 95374,Destination Address,Composting Facility,37.325729172363,-120.834534746052,,2024-10-15,False,,,,2000.0,74.1,125,38
5817 E Worden Ave Merced 2024 Dairy AR,2,111,112,Double B Dairy,5817 E Worden Ave Merced Merced 95340,37.236077174189,-120.383204128772,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Farmer,37.425366280333,-120.579112088577,,2024-03-21,False,,,,602.0,52.9,38,11
5817 E Worden Ave Merced 2024 Dairy AR,3,113,114,Double B Dairy,5817 E Worden Ave Merced Merced 95340,37.236077174189,-120.383204128772,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Farmer,37.425366280333,-120.579112088577,,2024-05-10,False,,,,1125.0,52.9,70,21
5817 E Worden Ave Merced 2024 Dairy AR,4,115,116,Double B Dairy,5817 E Worden Ave Merced Merced 95340,37.236077174189,-120.383204128772,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Farmer,37.425366280333,-120.579112088577,,2024-08-20,False,,,,430.0,23.6,27,8
5817 E Worden Ave Merced 2024 Dairy AR,5,117,118,Double B Dairy,5817 E Worden Ave Merced Merced 95340,37.236077174189,-120.383204128772,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Farmer,37.425366280333,-120.579112088577,,2024-10-18,False,,,,449.0,23.6,28,8
"5837 Hultberg RD, Turlock 2024 Dairy AR",3,37,38,Kooistra Dairy,5837 Hultberg Road Turlock CA 95380,37.438153041265,-120.895575117737,750 East Ave Gustine 95322,Destination Address,Broker,37.252812984983,-120.994122997389,,2024-10-14,False,,,,1500.0,57.1,94,28
5931 W Tuolumne Rd Ceres 2024 Dairy AR,1,45,46,Nelson Farms,5931 W Tuolumne Rd Ceres 95307,37.514649349039,-120.917168744335,8126 Faith Home Rd Ceres 95307,Destination Contact Address,Other,37.519567933641,-120.920919478368,,2024-06-04,False,,,,300.0,,19,6
5931 W Tuolumne Rd Ceres 2024 Dairy AR,2,47,48,Nelson Farms,5931 W Tuolumne Rd Ceres 95307,37.514649349039,-120.917168744335,8048 Faith Home Rd Ceres 95307,Destination Contact Address,Other,37.520454068445,-120.920258230027,,2024-06-04,False,,,,300.0,,19,6
5931 W Tuolumne Rd Ceres 2024 Dairy AR,3,49,50,Nelson Farms,5931 W Tuolumne Rd Ceres 95307,37.514649349039,-120.917168744335,8048 Faith Home Rd Ceres 95307,Destination Contact Address,Other,37.520454068445,-120.920258230027,,2024-10-26,False,,,,230.0,,14,4
5931 W Tuolumne Rd Ceres 2024 Dairy AR,4,51,52,Nelson Farms.,5931 W Tuolumne Rd Ceres 95307,37.514649349039,-120.917168744335,8413 Faith Home Rd Ceres 95307,Destination Contact Address,Other,37.515606813839,-120.921948189345,,2024-10-26,False,,,,230.0,,14,4
6025 Hultberg Rd Turlock 2024 Dairy AR,2,33,34,N & C Silveira Dairy,6025 Hultberg Road Turlock CA 95380,37.436642789951,-120.896652862847,750 East Ave Gustine 95322,Destination Address,Broker,37.252812984983,-120.994122997389,,2024-05-01,False,,,,1700.0,85.8,106,32
6025 Hultberg Rd Turlock 2024 Dairy AR,3,35,36,N & C Silveira Dairy,6025 Hultberg Road Turlock CA 95380,37.436642789951,-120.896652862847,750 East Ave Gustine 95322,Destination Address,Broker,37.252812984983,-120.994122997389,,2024-10-15,False,,,,2000.0,92.7,125,38
"6041 Central Ave, Hilmar 2024 Dairy AR",2,84,85,Martins Brothers Dairy,6041 Central Ave Hilmar Merced 95324,37.378794959457,-120.959938159659,1 Turner Ave Stevinson 95324 Merced,Destination Address,Broker,37.371863195565,-120.882231069105,,2024-03-13,False,,,,1968.0,42.8,123,37
"6071 Larson Ave, Hilmar 2024 Dairy AR",1,58,59,California Dairy Farms-Larson,6071 North Larson Road Hilmar CA 95324,37.3768219,-120.8426322,19075 3Rd Ave Stevinson 95374,Destination Address,Composting Facility,37.325729172363,-120.834534746052,,2024-12-20,False,,,,960.0,68.0,60,18
"6071 Larson Ave, Hilmar 2024 Dairy AR",4,64,65,California Dairy Farms-Larson,6071 North Larson Road Hilmar CA 95324,37.3768219,-120.8426322,5922 Lander Avenue Hilmar 95324,Destination Address,Farmer,37.374217685952,-120.848825974785,,2024-11-20,False,,,,480.0,68.0,30,9
"6325 West main St, Turlock 2024 Dairy AR",1,34,35,Arlinda Holsteins,6325 W. Main St. Turlock 95380,37.493523642185,-120.919674681928,2324 Villa Manucha Rd. Newman 95360,Destination Address,Other,37.365262041504,-121.022008751064,,2024-03-23,False,,10.0,77.0,770.0,25.8,77,0
"6325 West main St, Turlock 2024 Dairy AR",2,36,37,Arlinda Holsteins,6325 W. Main St. Turlock 95380,37.493523642185,-120.919674681928,2324 Villa Manucha Rd. Newman 95360,Destination Address,Other,37.365262041504,-121.022008751064,,2024-08-04,False,,10.0,64.0,640.0,6.5,64,0
6460 Smith Rd Oakdale 2024 Dairy AR,1,50,50,J&J De Raadt Dairy,"66460 Smith Road Oakdale, CA 95361",37.7383835,-120.8122714,062-025-026,Destination Assessor Parcel Number,Other,37.728709,-120.899171,,2024-11-04,False,,10.0,80.0,800.0,-53.1,80,0
6506 Vivian Rd Modesto 2024 Dairy AR,1,106,107,Tony Morris Dairy,6506 Vivian Rd Modesto Stanislaus 95358,37.541673820252,-121.041800939032,,,Farmer,,,,2024-05-17,False,,10.0,44.0,440.0,77.8,44,0
6555 Blue Gum Rd Modeso 2024 Dairy AR,1,42,43,Double & Dairy,6555 Blue Gum Avec. Modesto 95358,37.660727062105,-121.114318315459,012-027-022,Destination Assessor Parcel Number,Other,35.571592,-121.11142,,2024-06-11,False,,10.0,56.0,560.0,-32.6,56,0
6555 Blue Gum Rd Modeso 2024 Dairy AR,2,45,46,Double G Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,003-001-005,Destination Assessor Parcel Number,Other,37.714011,-121.143295,,2024-10-04,False,,10.0,200.0,2000.0,-31.0,200,0
6555 Blue Gum Rd Modeso 2024 Dairy AR,3,48,49,Double G Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,3509 Finney Rd. Modesto 95358,Destination Address,Other,37.690453571771,-121.086514823328,,2024-10-05,False,,,,420.0,-31.0,26,8
6555 Blue Gum Rd Modeso 2024 Dairy AR,4,51,52,Double G Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,3642 Finney Rd. Modesto 95358,Destination Address,Other,37.691516265129,-121.086104745551,,2024-10-15,False,,,,1600.0,-31.0,100,30
6555 Blue Gum Rd Modeso 2024 Dairy AR,5,54,55,Double & Dairy,6555 Blue Gum Ave Modesto 95358,37.660727062105,-121.114318315459,5425 Stoddard Rd. Modesto 95356,Destination Address,Other,37.717600161078,-121.068817489347,,2024-10-18,False,,10.0,132.0,1320.0,-31.0,132,0
6600 S Hwy 59 Merced 2024 Dairy AR,1,45,46,Diamond J Dairy Llc,6600 S Hwy 59 Merced Merced 95341,37.18983593266,-120.482005812452,1 Ranch Rd Merced 95341 Merced,Destination Address,Farmer,37.217957439544,-120.386378783958,,2024-04-02,False,,,,75.0,21.7,5,1
6600 S Hwy 59 Merced 2024 Dairy AR,2,47,48,Diamond J Dairy Llc,6600 S Hwy 59 Merced Merced 95341,37.18983593266,-120.482005812452,5175 W Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-07-08,False,,,,1494.0,21.7,93,28
6610 E Collier Rd Acampo 2024 Dairy AR,1,102,102,Dewit Dairy,6610 E. Collier Road Acampo CA 95220,38.217724979957,-121.236991994659,3217 Forest Lake Road Acampo CA,Destination Address,Other,38.222520350582,-121.356340656689,,2024-10-01,False,,,,1000.0,-31.700000000000003,62,19
6624 Crane Rd Oakdale 2024 Dairy AR,1,19,20,Crane Villa,6624 Crane Road Oakdale CA 95361,37.734875263523,-120.880931681432,19075 Third Avenue Stevinson CA 95374,Destination Address,Other,37.325729172363,-120.834534746052,2024-10-15,2024-11-01,False,,20.0,222.0,4400.0,-61.1,0,222
6626 N Central Ave Hilmar 2024 Dairy AR,1,86,87,Dairy Central,6626 N. Central Avenue Hilmar CA 95324,37.3845307,-120.9579337,750 East Ave Gustine 95322,Destination Address,Broker,37.252812984983,-120.994122997389,,2024-05-16,False,,,,1500.0,87.19,94,28
6626 N Central Ave Hilmar 2024 Dairy AR,2,88,89,Dairy Central,6626 N. Central Avenue Hilmar CA 95324,37.3845307,-120.9579337,750 East Ave Gustine 95322,Destination Address,Broker,37.252812984983,-120.994122997389,,2024-10-09,False,,,,2800.0,92.97,175,53
6756 County Rd 30 Orland 2024 Dairy AR,1,34,35,Van Tol Dairy No. 2,6756 County Road 30 Orland Glenn 95963,39.654465745974,-122.167072110887,82 West Liberty Road Gridle 95948 County Butte,Destination Address,Composting Facility,39.349006898398,-121.691559283851,,2024-08-22,False,,,,685.0,89.3,43,13
6756 County Rd 30 Orland 2024 Dairy AR,2,36,37,Van Tol Dairy No. 2,6756 County Road 30 Orland Glenn 95963,39.654465745974,-122.167072110887,24790 Clark Ave. Orland 95948 Clark Ave. Tehama Tehama,Destination Address,Composting Facility,39.828605819414,-122.112338534609,,2024-09-24,False,,,,1368.0,89.3,85,26
6756 County Rd 30 Orland 2024 Dairy AR,3,38,39,Van Tol Dairy No. 2,6756 County Road 30 Orland Glenn 95963,39.654465745974,-122.167072110887,24790 Clark Ave. Orland 95948 Clark Ave. Tehama Tehama,Destination Address,Composting Facility,39.828605819414,-122.112338534609,,2024-11-12,False,,,,3970.0,89.3,248,75
6756 County Rd 30 Orland 2024 Dairy AR,4,40,41,Van Tol Dairy No. 2,6756 County Road 30 Orland Glenn 95963,39.654465745974,-122.167072110887,24790 Clark Ave. Orland 95963 Clark Ave. Tehama Tehama,Destination Address,Composting Facility,39.828605819414,-122.112338534609,,2024-05-03,False,,,,1470.0,65.9,92,28
6756 County Rd 30 Orland 2024 Dairy AR,5,42,43,Van Toldairyno.200,6756 County Road 30 Orland Glenn 95963,39.654465745974,-122.167072110887,24790 Clark Ave. Orland 95963 Clark Ave. Tehama Tehama,Destination Address,Composting Facility,39.828605819414,-122.112338534609,,2024-05-03,False,,,,820.0,22.0,51,15
6756 County Rd 30 Orland 2024 Dairy AR,6,44,45,Van Tol Dairy No. 2,95963,35.302893965934,-119.125090525038,24790 Clark Ave. Orland 95963 Clark Ave. Tehama Tehama,Destination Address,Composting Facility,39.828605819414,-122.112338534609,,2024-06-13,False,,,,1752.0,65.9,109,33
6942 S Central Ave Ceres 2024 Dairy AR,1,78,79,Ackerman Davy INC.,6934 Central Ave. Ceres 95307,37.538853561291,-120.953951804412,900 Meredith Ave Gustine 95322,Hauler Address,Other,37.24919296673,-121.003727736419,2024-10-12,2024-10-13,False,,,,350.0,,22,7
7084 County Rd 31 Orland 2024 Dairy AR,1,57,58,Goedhart Dairy,7084 County Road 31 Orland Glenn 95963,39.641573666428,-122.128559025996,County Road 45 Willows 95963 Glenn Glenn,Destination Address,Farmer,39.553294622402,-122.133593753883,,2024-09-17,False,,,,1386.0,37.0,87,26
7251 Crows Landing Rd Ceres 2024 Dairy AR,1,102,103,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,37.532550831108,-120.994912824125,"022-008-017,022-008-016,022-008-022,022-008-013",Destination Assessor Parcel Number,Other,37.527623,-121.005747,,2024-04-26,False,,,,4500.0,68.1,281,85
7251 Crows Landing Rd Ceres 2024 Dairy AR,2,104,105,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,37.532550831108,-120.994912824125,"022-001-002,022-001-004,022-001-005,022-003-002,022-004-001,022-004-002",Destination Assessor Parcel Number,Other,35.290559,-120.669299,,2024-05-24,False,,,,2000.0,68.1,125,38
7251 Crows Landing Rd Ceres 2024 Dairy AR,3,106,107,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,37.532550831108,-120.994912824125,"022-008-017,022-008-016,022-008-022,022-008-013",Destination Assessor Parcel Number,Other,37.527623,-121.005747,,2024-09-21,False,,,,4000.0,68.1,250,75
7251 Crows Landing Rd Ceres 2024 Dairy AR,4,108,109,Trinkler Dairy Farms,7251 Crowslanding Rd. Ceres 95307,37.532550831108,-120.994912824125,"022-001-002,022-001-004,022-001-005,022-003-002,022-004-001,022-004-002",Destination Assessor Parcel Number,Other,35.290559,-120.669299,,2024-10-31,False,,,,5000.0,68.1,312,94
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",27,85,86,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,045-020-021,Destination Assessor Parcel Number,Other,34.400831,-119.720319,,2024-05-22,False,,,,660.0,-47.4,41,12
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",28,87,88,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,045-020-022,Destination Assessor Parcel Number,Other,35.571326,-121.10036,,2024-05-22,False,,,,660.0,-47.4,41,12
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",29,89,90,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,1224 Tuolumne Rd. Ceres 95307,Destination Address,Other,37.514581916628,-121.009933865168,,2024-05-26,False,,,,2830.0,-47.4,177,53
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",30,91,92,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,10924 Hilmar Rd. Turlock 95380,Destination Address,Other,37.425763792091,-120.974374060041,,2024-10-08,False,,,,1460.0,-36.2,91,27
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",31,93,94,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,045-020-021,Destination Assessor Parcel Number,Other,34.400831,-119.720319,,2024-10-20,False,,,,540.0,-36.2,34,10
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",32,95,96,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,37.424464597099,-120.941026742077,7413 S. Mitchell Rd. Turlock 95350,Destination Contact Address,Other,37.424464597099,-120.941026742077,,2024-10-21,False,,,,540.0,-36.2,34,10
7509 Oakdale Rd Snelling 2024 dairy AR,1,78,79,Mitk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-11-29,False,,,,1350.0,38.0,84,25
7509 Oakdale Rd Snelling 2024 dairy AR,2,80,81,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-10-26,False,,,,946.0,38.0,59,18
7509 Oakdale Rd Snelling 2024 dairy AR,3,82,83,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-09-26,False,,,,1128.0,33.6,70,21
7509 Oakdale Rd Snelling 2024 dairy AR,4,84,85,Milk Made Dairy,7509 W Oakdale Rd Snellin Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-08-20,False,,,,458.0,33.6,29,9
7509 Oakdale Rd Snelling 2024 dairy AR,5,86,87,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-07-10,False,,,,946.0,33.6,59,18
7509 Oakdale Rd Snelling 2024 dairy AR,6,88,89,Milk Made Dairy,7509 W Oakdale Rd Snellin Merced 95369,37.461113965819,-120.623057736374,Merced,Destination Address,Broker,,,,,,,,,33.6,,2,1
7509 Oakdale Rd Snelling 2024 dairy AR,7,90,91,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-05-02,False,,,,880.0,33.6,55,17
7509 Oakdale Rd Snelling 2024 dairy AR,8,92,93,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-04-26,False,,,,748.0,33.6,47,14
7509 Oakdale Rd Snelling 2024 dairy AR,9,94,95,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-03-15,False,,,,1738.0,25.8,109,33
7509 Oakdale Rd Snelling 2024 dairy AR,10,96,97,Milk Made Dairy,7509 W Oakdale Rd Snellin Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Ave Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-02-08,False,,,,1665.0,25.8,104,31
7509 Oakdale Rd Snelling 2024 dairy AR,11,98,99,Milk Made Dairy,7509 W Oakdale Rd Snelling Merced 95369,37.461113965819,-120.623057736374,5175 Shaw Winton 95388 Merced,Destination Address,Broker,37.425366280333,-120.579112088577,,2024-01-08,False,,,,990.0,28.1,62,19
7581 N Merced Ave 2024 Dairy AR,1,28,29,Joe & Teresa Soares Dairy #2,7581 N Merced Ave Delhi Merced 95315,37.40391819115,-120.795898593743,Delhi 95315 Bloss Ave Merced,Destination Address,Broker,37.405059168711,-120.782745349507,,2024-10-06,False,,,,728.0,72.4,45,14
7618 S Hwy 59 El Nido 2024 Dairy AR,1,27,28,Azevedo Dairy #2,7618 Highway 59 El Nido Merced 95317,37.179123129754,-120.491742408819,El Nido 95317 Coyote Rd Merced,Destination Address,Broker,37.098384004598,-120.510214017942,,2024-07-04,False,,24.0,,20424.0,46.4,1275,384
7618 S Hwy 59 El Nido 2024 Dairy AR,2,29,30,Azevedo Dairy #2,7618 Highway 59 El Nido Merced 95317,37.179123129754,-120.491742408819,El Nido 95317 Coyote Rd Merced,Destination Address,Broker,37.098384004598,-120.510214017942,,2024-10-25,False,,24.0,,2952.0,43.7,184,55
"7689 Washington Rd, Hilmar 2024 Dairy AR",1,51,52,Fanelli Dairy,7689 Washington Rd Hillmar Merced 95324,37.400190018769,-120.905161835675,23839 W Bloss Ave Hilmar 95324 Merced,Destination Address,Farmer,37.404402889034,-120.918742698114,,2024-01-01,False,,,,155.0,51.4,10,3
